k,current_theta1,current_thetadot1,current_theta2,current_thetadot2,force1,force2,reward
0,1.5707963267948966,0.0,-1.5707963267948966,0.0,-1.5,1.0,-4.934802200544679
1,1.5451815726965359,-0.512295081967213,-1.5118482393632027,1.1789617486338797,-1.5,1.0,-4.755891044254038
2,1.4937910260291518,-1.0278109333476806,-1.3927222550565022,2.3825196861340103,0.0,1.0,-4.507726677651151
3,1.4306403024574805,-1.263014471433426,-1.2260954950724356,3.332535199681331,0.0,0.0,-4.185091658660819
4,1.3664509523074337,-1.2837870030009368,-1.0571493833414563,3.378922234619586,0.0,0.0,-3.6380142505951514
5,1.3013454491449492,-1.3021100632496916,-0.8860933385813601,3.421120895201923,0.0,0.0,-3.148639322508697
6,1.2355822307293267,-1.3152643683124483,-0.7135035776127094,3.4517952193730137,-1.5,0.0,-2.7179913339121318
7,1.1519701212193625,-1.6722421901992839,-0.5114349454093106,4.041372644067977,-1.5,0.0,-2.5450552031131517
8,1.050253503039678,-2.0343323635936876,-0.27756394355693526,4.677420037047505,-1.5,-1.0,-2.480912481836901
9,0.9546311849373031,-1.9124463620474976,-0.08882106430653491,3.7748575850080064,-1.5,-1.0,-1.8145599244594046
10,0.8669809499097543,-1.7530047005509761,0.05001592039423214,2.776739694015341,-1.5,0.0,-1.2933230002230132
11,0.7629057981095233,-2.081503036004618,0.21709730657244036,3.3416277235641645,-1.5,-1.0,-1.40411303389959
12,0.6678709551515758,-1.9006968591589488,0.3300530791457404,2.259115451466,1.5,0.0,-0.9907992064621187
13,0.5958583667289558,-1.4402517684524003,0.3973974532644248,1.3468874823736883,1.5,-1.0,-0.7073934813972095
14,0.568018547895534,-0.5567963766684352,0.34986850170463724,-0.950579031195752,1.5,-1.0,-0.5057341742194064
15,0.583171165581633,0.3030523537219788,0.19195648821591565,-3.1582402697744314,1.5,-1.0,-0.8802520182700926
16,0.6414044627530339,1.1646659434280178,-0.07638838703795986,-5.36689750507751,0.0,1.0,-1.925236650003183
17,0.6701897842126248,0.5757064291918189,-0.2530975284552458,-3.534182828345718,0.0,1.0,-1.1543070136124451
18,0.6711507340987273,0.019218997722050157,-0.34312875951345134,-1.8006246211641104,0.0,1.0,-0.7303115732972922
19,0.6473324264016435,-0.47636615394167625,-0.35393436255295213,-0.21611206079001555,-1.5,1.0,-0.5579902600388084
20,0.5816051165992411,-1.3145461960480485,-0.2556401006663276,1.9658852377324911,-1.5,0.0,-0.6832531961970533
21,0.4983407238749083,-1.6652878544866554,-0.12570852813988423,2.598631450528867,-1.5,0.0,-0.7404495638181903
22,0.39803735153706643,-2.0060674467568367,0.0346965490919981,3.208101544637646,1.5,0.0,-0.8754486898197329
23,0.32135724230730256,-1.533602184595277,0.14889542709055653,2.2839775599711687,1.5,0.0,-0.5038647831441966
24,0.2673845071078954,-1.079454703988143,0.21895739588404128,1.4012393758696953,1.5,0.0,-0.2758715281761441
25,0.23493484487140215,-0.648993244729865,0.248094336068535,0.5827388036898745,1.5,-1.0,-0.1547840181755822
26,0.24667723732705527,0.23484784911306245,0.16254081543125182,-1.7110704127456637,1.5,-1.0,-0.236414949576697
27,0.301436140475806,1.0951780629750152,-0.034464469109581286,-3.9401056908166616,-1.5,0.0,-0.9282439386373327
28,0.3330529025979993,0.6323352424438652,-0.1858764737314784,-3.028240092437942,-1.5,0.0,-0.6239785952300563
29,0.34200577832705126,0.17905751458103886,-0.29344140838610333,-2.151298693092499,-1.5,0.0,-0.4360831955861837
30,0.329497743503582,-0.25016069646938427,-0.3605609574816334,-1.3423909819106012,-1.5,1.0,-0.3318026631526724
31,0.2738525901065426,-1.1129030679407879,-0.315824625118178,0.894726647269108,-1.5,1.0,-0.27669488553737154
32,0.17697298194205563,-1.93759216328974,-0.16284988709050974,3.0594947605533647,1.5,1.0,-0.7135781011176202
33,0.07851881882894789,-1.9690832622621548,0.02561744210301034,3.7693465838704014,1.5,0.0,-0.9110845864030159
34,0.003926100972989399,-1.4918543571191696,0.16714346980214098,2.8305205539826126,1.5,0.0,-0.5398261552350238
35,-0.04758346201003982,-1.0301912596605844,0.263486300345806,1.9268566108733007,1.5,0.0,-0.31039273784414145
36,-0.0773328604480647,-0.5949879687604975,0.3182668874514462,1.095611742112804,1.5,-1.0,-0.1849929715743712
37,-0.06332375254160358,0.28018215812922254,0.2595235854044241,-1.1748660409404423,1.5,-1.0,-0.14430300181156855
38,-0.006905821856661935,1.1283586136988328,0.09080141284967574,-3.374443451094967,-1.5,0.0,-0.6412956752383164
39,0.02739358034536534,0.6859880440405455,-0.035002171302282364,-2.5160716830391623,-1.5,0.0,-0.3420353757779171
40,0.03983386306111742,0.24880565431504154,-0.11859243322011956,-1.6718052383567439,-1.5,0.0,-0.15849275229424964
41,0.03127240057588395,-0.17122924970466935,-0.1622551767148993,-0.8732548698955951,-1.5,1.0,-0.06689938159610159
42,-0.02147045764563863,-1.0548571644304516,-0.09060464969343406,1.433010540429305,1.5,1.0,-0.16698232541417013
43,-0.07709388804590514,-1.1124686080053303,0.018967232279851656,2.1914376394657142,1.5,0.0,-0.30830249004761134
44,-0.1106362852534063,-0.670847944150023,0.08610795623471708,1.3428144790973084,1.5,0.0,-0.13231435221377746
45,-0.12299813134202803,-0.2472369217724345,0.11308324525463521,0.5395057803983627,-1.5,1.0,-0.04552598979948852
46,-0.17885663396868484,-1.1171700525331363,0.25339421472062523,2.8062193893198,1.5,0.0,-0.5523451329320546
47,-0.21197131310369938,-0.6622935827002906,0.3496347636049747,1.924810977686989,1.5,0.0,-0.37435280997552955
48,-0.22382657445614249,-0.23710522704886228,0.40596836318403073,1.12667199158112,1.5,-1.0,-0.2811890806044552
49,-0.193183196433579,0.6128675604512696,0.35235365228844406,-1.0722942179117336,0.0,-1.0,-0.23774392048632184
50,-0.14053062423874227,1.0530514438967349,0.2262074231575419,-2.5229245826180433,0.0,-1.0,-0.4446219442940771
51,-0.06576873352761597,1.4952378142225258,0.02738393459228411,-3.9764697713051556,-1.5,0.0,-0.9074778043428128
52,-0.014140452359382022,1.032565623364679,-0.12605227882679532,-3.068724268381588,-1.5,0.0,-0.5402521494857863
53,0.014668392562976293,0.5761768984471662,-0.23501919857984443,-2.179338395060982,-1.5,0.0,-0.30952396836605267
54,0.021794390824808545,0.14251996523664506,-0.3026914069652857,-1.3534441677088251,-1.5,1.0,-0.18470323610185316
55,-0.014883114136533211,-0.7335500992268351,-0.2566319125169397,0.9211898889669201,-1.5,1.0,-0.13541577358903256
56,-0.09356128626553747,-1.5735634425800853,-0.1008943660520861,3.114750929297071,1.5,0.0,-0.6278221503577872
57,-0.14970341227816078,-1.122842520252466,0.011629728404328535,2.2504818891282925,1.5,0.0,-0.33881856515955133
58,-0.18373568653275357,-0.6806454850918561,0.08164657297933187,1.4003368915000667,1.5,0.0,-0.1616360496885315
59,-0.19654215548187154,-0.2561293789823594,0.11137110077032464,0.5944905558198553,-1.5,1.0,-0.07198340495509845
60,-0.2528132043483344,-1.1254209773292563,0.2543416510256784,2.8594110051070745,1.5,0.0,-0.6007443753563502
