k,current_theta1,current_thetadot1,current_theta2,current_thetadot2,force1,force2,reward
0,1.5707963267948966,0.0,-1.5707963267948966,0.0,-1.5,1.0,-4.934802200544679
1,1.5451815726965359,-0.512295081967213,-1.5118482393632027,1.1789617486338797,-1.5,1.0,-4.755891044254038
2,1.4937910260291518,-1.0278109333476806,-1.3927222550565022,2.3825196861340103,-1.5,1.0,-4.507726677651151
3,1.415162753132025,-1.5725654579425372,-1.2082784412088703,3.6888762769526346,-1.5,1.0,-4.266660924651248
4,1.3060292596362006,-2.182669869916488,-0.9482911468111638,5.19974588795413,-1.5,1.0,-4.195038779163172
5,1.160701550651905,-2.9065541796859153,-0.6341318814521845,6.283185307179586,0.0,1.0,-4.145675072950179
6,0.9926534289308813,-3.3609624344204727,-0.31997261609320515,6.283185307179586,0.0,-1.0,-3.6264676095149166
7,0.8496355283742003,-2.8603580111336178,-0.08106082810575443,4.778235759749014,-1.5,-1.0,-2.279110635308922
8,0.7158548039050067,-2.675614489383873,0.10565175406501623,3.734251643415413,0.0,-1.0,-1.578787805018472
9,0.6116703973935707,-2.08368813022872,0.20021993275256467,1.8913635737509684,1.5,-1.0,-0.8101793161274549
10,0.5547215586098079,-1.1389767756752551,0.17161369521016256,-0.5721247508480418,1.5,-1.0,-0.41839700927320783
11,0.5429971628422228,-0.2344879153517011,0.026333850312878437,-2.9055968979456823,-1.5,-1.0,-0.7204132863168824
12,0.5349788335470886,-0.16036658590268182,-0.157212831971139,-3.6709336456803485,1.5,0.0,-0.9859917905228941
13,0.5430861751103723,0.16214683126567253,-0.3680201763329509,-4.216146887236238,1.5,1.0,-1.3204907522662164
14,0.5405100910612058,-0.05152168098332929,-0.5234737241356298,-3.1090709560535763,1.5,1.0,-1.049624733068781
15,0.5297736792465876,-0.2147282362923642,-0.6293270803703944,-2.117067124695293,-1.5,-1.0,-0.9031167966063323
16,0.5181906804984658,-0.23165997496243473,-0.7656138854818555,-2.7257361022292224,1.5,1.0,-1.2288513851478544
17,0.4999510713897215,-0.3647921821748872,-0.8559189935653587,-1.8061021616700637,1.5,0.0,-1.1523023150579266
18,0.4957852007199067,-0.08331741339629534,-0.9667519699073737,-2.2166595268402993,1.5,1.0,-1.4264383990380112
19,0.4880562209657682,-0.1545795950827708,-1.0374716005760656,-1.4143926133738374,1.5,0.0,-1.4157662626243714
20,0.49485160045304755,0.13590758974558753,-1.1280299256996273,-1.8111665024712358,-1.5,1.0,-1.6822693683760666
21,0.46864530815591954,-0.5241258459425597,-1.1389446942333423,-0.21829537067429738,1.5,0.0,-1.5329414799409802
22,0.458416584962794,-0.20457446386251,-1.17086589564366,-0.6384240282063518,1.5,0.0,-1.6035445085031734
23,0.46363668031093985,0.10440190696291657,-1.2228609175156944,-1.0399004374406875,0.0,1.0,-1.764962428815416
24,0.4543502505243555,-0.18572859573168715,-1.2220802732395986,0.015612885521917308,1.5,0.0,-1.7016512880662555
25,0.4609809599344776,0.13261418820244086,-1.2417990829629098,-0.39437619446622185,0.0,1.0,-1.7632243631533486
26,0.4539647119610048,-0.1403249594694554,-1.2104766162411862,0.6264493344344719,-1.5,0.0,-1.6919440913157249
27,0.4312769457598279,-0.4537553240235375,-1.1591459793891719,1.0266127370402856,-1.5,0.0,-1.5926105857746606
28,0.39307921354869363,-0.7639546442226854,-1.0872915503330218,1.4370885811230016,-1.5,0.0,-1.4691566979708222
29,0.33940396114994614,-1.0735050479749495,-0.9936753491224308,1.8723240242118209,-1.5,1.0,-1.3354862652812811
30,0.25402801511066325,-1.7075189207856574,-0.8194535076384384,3.4844368296798494,-1.5,1.0,-1.4888803278855223
31,0.13361778699883775,-2.4082045622365102,-0.5542340342442844,5.30438946788308,1.5,0.0,-2.021828919745446
32,0.030950334497664767,-2.0533490500234595,-0.3166562527232494,4.751555630420701,-1.5,-1.0,-1.4409052671049933
33,-0.06614340326445044,-1.941874755242304,-0.12287213736326577,3.8756823071996718,1.5,0.0,-0.9590620575050175
34,-0.14031309833258818,-1.4833939013627546,0.02697574411861553,2.996957629637626,0.0,1.0,-0.5795260813566132
35,-0.23581149856149838,-1.909968004578204,0.24755494851964696,4.4115840880206285,0.0,-1.0,-1.2723931125998469
36,-0.30163656794380234,-1.316501387646079,0.3757301802069872,2.563504633746804,1.5,1.0,-0.6473943829850606
37,-0.367813445995831,-1.3235375610405726,0.5348040349693173,3.181477095246601,0.0,-1.0,-1.0149794960279896
38,-0.4081401865854898,-0.8065348117931764,0.6116900690725179,1.5377206820640115,1.5,1.0,-0.6914973174420632
39,-0.44901530723973676,-0.8175024130849394,0.7210188643907168,2.186575906363978,-1.5,0.0,-0.9939541684274316
40,-0.5047312488501271,-1.1143188322078066,0.8523020487683071,2.6256636875518042,0.0,-1.0,-1.3879632288975179
41,-0.5391556810686114,-0.6884886443696867,0.9132561889692337,1.2190828040185329,1.5,1.0,-1.2227346899431517
42,-0.5724908092768959,-0.6667025641656893,1.004273137557151,1.8203389717583445,0.0,0.0,-1.524216575583766
43,-0.603752951619612,-0.6252428468543214,1.0902540365701863,1.7196179802607048,0.0,0.0,-1.7205722216258987
44,-0.6331352383265715,-0.5876457341391913,1.1717276084061163,1.6294714367186005,1.5,-1.0,-1.9238310519086501
45,-0.6307817833154326,0.04706910022277877,1.1758443106302996,0.0823340444836651,1.5,-1.0,-1.7809452207580827
46,-0.5984621597976341,0.6463924703559696,1.106763411244131,-1.3816179877233743,0.0,-1.0,-1.6994167796650779
47,-0.5518534417160067,0.9321743616325473,0.9847268245824228,-2.4407317332341636,1.5,-1.0,-1.6155351618910483
48,-0.47259139588509147,1.5852409166183046,0.781374910985492,-4.067038271938615,-1.5,-1.0,-1.7865788324389187
49,-0.3910817674691074,1.630192568319682,0.5400162611307695,-4.8271729970944515,-1.5,0.0,-1.742518858816544
50,-0.326710705945211,1.2874212304779276,0.3286431659638495,-4.2274619033383996,0.0,-1.0,-1.1911905943571017
51,-0.2398094676196641,1.7380247665109385,0.044886813760041055,-5.675127044076169,-1.5,0.0,-1.8209132595800614
52,-0.1766209511470623,1.2637703294520357,-0.19144808758112417,-4.726698026823304,-1.5,0.0,-1.264786814741494
53,-0.1387397113677289,0.7576247955866685,-0.37747527340992093,-3.7205437165759347,1.5,1.0,-0.8825583334383158
54,-0.10981563840240482,0.5784814593064813,-0.5111749322761252,-2.673993177324086,0.0,0.0,-0.6476033013820848
55,-0.08440887964109546,0.5081351752261873,-0.6366076049146431,-2.5086534527703575,1.5,1.0,-0.7399712767173625
56,-0.06463778813530598,0.3954218301157897,-0.717204307586851,-1.6119340534441604,1.5,0.0,-0.6562945532954112
57,-0.029032963156903735,0.7120964995680448,-0.822523730795732,-2.10638846417762,-1.5,1.0,-0.9245858900076807
58,-0.03125213450989482,-0.04438342705982179,-0.8325287011059592,-0.20009940620454425,-1.5,1.0,-0.6961812171246495
59,-0.06858810274368835,-0.7467193646758705,-0.7537794633560895,1.5749847549973937,-1.5,1.0,-0.7247961466181798
