k,l,t,current_theta,current_thetadot,force,next_theta,next_thetadot,reward
0,1,0,0.6111099525099073,15.630533225750618,-3,0.6881241724748941,15.40284399299737,-35.298633762412706
1,1,1,0.6881241724748941,15.40284399299737,0,0.766406394408555,15.656444386732167,-26.09233469098281
2,1,2,0.766406394408555,15.656444386732167,0,0.8461198838321439,15.94269788471778,-27.449318890435325
3,1,3,0.8461198838321439,15.94269788471778,3,0.9296323037431868,16.702483982208594,-37.996555873419084
4,1,4,0.9296323037431868,16.702483982208594,3,1.017069553876472,17.48745002665705,-41.21837821840779
5,1,5,1.017069553876472,17.48745002665705,0,1.1063306135960203,17.852211943909644,-35.753243230595196
6,1,6,1.1063306135960203,17.852211943909644,0,1.1975298984574012,18.239856972276176,-37.98998426192575
7,1,7,1.1975298984574012,18.239856972276176,0,1.2907618958772211,18.646399483964,-40.43962752540615
8,1,8,1.2907618958772211,18.646399483964,0,1.3860990547248888,19.067431769533535,-43.099152730800085
9,1,9,1.3860990547248888,19.067431769533535,-3,1.4813741516564989,19.055019386322,-54.96304837612783
10,1,10,1.4813741516564989,19.055019386322,3,1.581057252454002,19.936620159500624,-56.28172326729079
11,1,11,1.581057252454002,19.936620159500624,-3,1.6806938364576038,19.927316800720337,-61.245592516107656
12,1,12,1.6806938364576038,19.927316800720337,-3,1.7802665381862888,19.914540345736974,-62.83345434716
13,1,13,1.7802665381862888,19.914540345736974,0,1.8819444126782534,20.335574898392938,-55.505636453127536
14,1,14,1.8819444126782534,20.335574898392938,0,1.985633039564827,20.737725377314703,-59.062134506869384
15,1,15,1.985633039564827,20.737725377314703,3,2.0934226742101805,21.55792692907074,-71.71901822154949
16,1,16,2.0934226742101805,21.55792692907074,0,2.202920678381476,21.899600834259108,-68.38651381240186
17,1,17,2.202920678381476,21.899600834259108,-3,2.3117207200710808,21.760008337920933,-81.22354924619174
18,1,18,2.3117207200710808,21.760008337920933,0,2.4218394142280397,22.023738831391817,-74.07005972466862
19,1,19,2.4218394142280397,22.023738831391817,-3,2.530817459298925,21.795609014177092,-86.83103795287767
20,1,20,2.530817459298925,21.795609014177092,-3,2.63840978965619,21.518466071453034,-88.5300422913491
21,1,21,2.63840978965619,21.518466071453034,0,2.7465722051641794,21.632483101597867,-81.11046929759564
22,1,22,2.7465722051641794,21.632483101597867,3,2.8572267667010873,22.130912307381617,-93.51472690499384
23,1,23,2.8572267667010873,22.130912307381617,0,2.967828761803314,22.12039902044539,-89.79645193746727
24,1,24,2.967828761803314,22.12039902044539,-3,3.0758437983933655,21.603007318010302,-101.9712430793071
25,1,25,3.0758437983933655,21.603007318010302,-3,-3.1022106829201124,21.026165173221695,-102.9730678787753
26,1,26,-3.1022106829201124,21.026165173221695,-3,-3.000252667114901,20.39160316104232,-101.32851779527846
27,1,27,-3.000252667114901,20.39160316104232,-3,-2.9017431488136634,19.701903660247503,-95.58932828039349
28,1,28,-2.9017431488136634,19.701903660247503,3,-2.8025103671221028,19.846556338312137,-89.91706729220257
29,1,29,-2.8025103671221028,19.846556338312137,-3,-2.7072730518723964,19.0474630499413,-87.65890163811409
30,1,30,-2.7072730518723964,19.0474630499413,-3,-2.616260785078045,18.202453358870354,-81.9272217508603
31,1,31,-2.616260785078045,18.202453358870354,3,-2.525248199579776,18.202517099653708,-76.357033305871
32,1,32,-2.525248199579776,18.202517099653708,-3,-2.438893344252267,17.270971065501882,-74.01755522372306
33,1,33,-2.438893344252267,17.270971065501882,0,-2.35514585260395,16.74949832966339,-59.56964787773036
34,1,34,-2.35514585260395,16.74949832966339,0,-2.274167495867918,16.19567134720639,-55.7881293647276
35,1,35,-2.274167495867918,16.19567134720639,0,-2.1960987311568525,15.613752942213166,-52.08916603498299
36,1,36,-2.1960987311568525,15.613752942213166,-3,-2.123274511583226,14.564843914725321,-57.49317627899072
37,1,37,-2.123274511583226,14.564843914725321,-3,-2.0557728568397446,13.500330948696206,-52.75494108372605
38,1,38,-2.0557728568397446,13.500330948696206,-3,-1.9936504559803172,12.424480171885486,-48.35690376702769
39,1,39,-1.9936504559803172,12.424480171885486,3,-1.9325141116970805,12.227268856647338,-44.309981457310194
40,1,40,-1.9325141116970805,12.227268856647338,-3,-1.876856227743164,11.131576790783324,-42.62366432881558
41,1,41,-1.876856227743164,11.131576790783324,-3,-1.8266870981425902,10.033825920114724,-39.0041466830021
42,1,42,-1.8266870981425902,10.033825920114724,3,-1.7775731253297087,9.822794562576329,-35.7516950321196
43,1,43,-1.7775731253297087,9.822794562576329,-3,-1.7339702428405996,8.720576497821822,-34.44756038133005
44,1,44,-1.7339702428405996,8.720576497821822,-3,-1.6958581733595048,7.622413896218944,-31.638109460719672
45,1,45,-1.6958581733595048,7.622413896218944,-3,-1.663209251149574,6.529784441986162,-29.189794081278347
46,1,46,-1.663209251149574,6.529784441986162,0,-1.633774819830879,5.886886263738993,-18.095133551428084
47,1,47,-1.633774819830879,5.886886263738993,0,-1.6075359551104293,5.247772944089944,-16.811643797786992
48,1,48,-1.6075359551104293,5.247772944089944,3,-1.5822555001009448,5.056091001896891,-24.674771322136245
49,1,49,-1.5822555001009448,5.056091001896891,-3,-1.562358571702504,3.979385679688199,-24.074067959944728
50,1,50,-1.562358571702504,3.979385679688199,0,-1.545586730310088,3.354368278483171,-13.78837257163219
51,1,51,-1.545586730310088,3.354368278483171,3,-1.5296986669706916,3.177612667879306,-22.069370359322562
52,1,52,-1.5296986669706916,3.177612667879306,3,-1.5146857536092542,3.0025826722874744,-21.70961228536626
53,1,53,-1.5146857536092542,3.0025826722874744,0,-1.5027543161134276,2.3862874991653085,-12.372914931326271
54,1,54,-1.5027543161134276,2.3862874991653085,0,-1.4938775219956073,1.7753588235640558,-11.860789475854938
55,1,55,-1.4938775219956073,1.7753588235640558,-3,-1.4902445284135006,0.7265987164213308,-20.473540148859357
56,1,56,-1.4902445284135006,0.7265987164213308,-3,-1.4918125625409215,-0.31360682548418306,-20.156938341802395
57,1,57,-1.4918125625409215,-0.31360682548418306,3,-1.49410943897772,-0.4593752873597269,-20.13735853287358
58,1,58,-1.49410943897772,-0.4593752873597269,3,-1.497129860220669,-0.6040842485898065,-20.18291764367527
59,1,59,-1.497129860220669,-0.6040842485898065,3,-1.5008687142470842,-0.7477708052830543,-20.243480869761232
60,1,60,-1.5008687142470842,-0.7477708052830543,3,-1.5053210525742808,-0.8904676654393413,-20.318950604751848
61,1,61,-1.5053210525742808,-0.8904676654393413,0,-1.512697550499617,-1.4752995850672113,-11.409250622936003
62,1,62,-1.512697550499617,-1.4752995850672113,0,-1.5229761797743968,-2.055725854955974,-11.658920283007655
63,1,63,-1.5229761797743968,-2.055725854955974,0,-1.5361353511063252,-2.6318342663856775,-12.019883099874527
64,1,64,-1.5361353511063252,-2.6318342663856775,0,-1.5521536431868586,-3.203658416106693,-12.491214245164947
65,1,65,-1.5521536431868586,-3.203658416106693,-3,-1.5732249492383583,-4.214261210299954,-22.072247385000313
66,1,66,-1.5732249492383583,-4.214261210299954,3,-1.5948784033304306,-4.330690818414447,-23.151183459394062
67,1,67,-1.5948784033304306,-4.330690818414447,-3,-1.6215394724855066,-5.332213831015199,-23.59367390351904
68,1,68,-1.6215394724855066,-5.332213831015199,0,-1.6509496756317374,-5.882040629246168,-15.990201738109855
69,1,69,-1.6509496756317374,-5.882040629246168,-3,-1.6852968142084175,-6.86942771533599,-26.08801435375296
70,1,70,-1.6852968142084175,-6.86942771533599,0,-1.722316030755531,-7.403843309422701,-18.92003047352783
71,1,71,-1.722316030755531,-7.403843309422701,0,-1.7619714003895945,-7.931073926812736,-20.313552124035766
72,1,72,-1.7619714003895945,-7.931073926812736,0,-1.8042217920439614,-8.450078330873374,-21.81290944221123
73,1,73,-1.8042217920439614,-8.450078330873374,0,-1.849020054009543,-8.959652393116306,-23.416463754221194
74,1,74,-1.849020054009543,-8.959652393116306,0,-1.8963121948022017,-9.458428158531733,-25.12191290119474
75,1,75,-1.8963121948022017,-9.458428158531733,0,-1.9460365749922868,-9.94487603801702,-26.92618602378832
76,1,76,-1.9460365749922868,-9.94487603801702,3,-1.9959076414578913,-9.974213293120933,-37.82534769719106
77,1,77,-1.9959076414578913,-9.974213293120933,-3,-2.0502975721488927,-10.877986138200312,-38.86672964781704
78,1,78,-2.0502975721488927,-10.877986138200312,0,-2.1068842537757155,-11.317336325364545,-32.85165891408603
79,1,79,-2.1068842537757155,-11.317336325364545,0,-2.165568520134306,-11.736853271718056,-35.00301644418186
80,1,80,-2.165568520134306,-11.736853271718056,-3,-2.2284558404365007,-12.577464060439015,-46.22380754916732
81,1,81,-2.2284558404365007,-12.577464060439015,0,-2.2931878195120654,-12.946395815112975,-40.649337383041264
