k,l,t,current_theta,current_thetadot,force,next_theta,next_thetadot,reward
0,1,0,2.451983520625996,-46.12601088111984,0,2.22508454749353,-45.379794626493194,-230.6875822517425
1,1,1,2.22508454749353,-45.379794626493194,0,2.002353233127752,-44.54626287315558,-218.48404594751372
2,1,2,2.002353233127752,-44.54626287315558,0,1.7840968677173819,-43.65127308207404,-206.45837233557506
3,1,3,1.7840968677173819,-43.65127308207404,-3,1.5682689136073158,-43.16559082201321,-207.62416002828243
4,1,4,1.5682689136073158,-43.16559082201321,-3,1.354917165029913,-42.670349715480555,-200.25487710460465
5,1,5,1.354917165029913,-42.670349715480555,0,1.1461684719761474,-41.749738610753134,-180.87257823738182
6,1,6,1.1461684719761474,-41.749738610753134,-3,0.939575979593708,-41.318498476487875,-184.13584674230046
7,1,7,0.939575979593708,-41.318498476487875,-3,0.734814316481307,-40.9523326224802,-179.40911512075508
8,1,8,0.734814316481307,-40.9523326224802,-3,0.5314629069261717,-40.67028191102707,-175.8194471794336
9,1,9,0.5314629069261717,-40.67028191102707,-3,0.32902505831284695,-40.48756972266495,-173.46561764975442
10,1,10,0.32902505831284695,-40.48756972266495,3,0.13137964010683348,-39.529083641202696,-165.34114840049287
11,1,11,0.13137964010683348,-39.529083641202696,3,-0.062081509316157024,-38.6922298845981,-158.7281359132535
12,1,12,-0.062081509316157024,-38.6922298845981,-3,-0.2563954059780373,-38.86277933237605,-160.36025476472872
13,1,13,-0.2563954059780373,-38.86277933237605,3,-0.44769242942360554,-38.25940468911366,-156.38034727335327
14,1,14,-0.44769242942360554,-38.25940468911366,3,-0.6365284977192407,-37.76721365912703,-153.66208539945868
15,1,15,-0.6365284977192407,-37.76721365912703,0,-0.8256178620552906,-37.81787286720999,-146.42737509076952
16,1,16,-0.8256178620552906,-37.81787286720999,0,-1.015375412652414,-37.95151011942466,-149.18664817757457
17,1,17,-1.015375412652414,-37.95151011942466,0,-1.2061360549515183,-38.15212845982087,-152.83231151673743
18,1,18,-1.2061360549515183,-38.15212845982087,-3,-1.4003580888674978,-38.84440678319589,-169.69380771912267
19,1,19,-1.4003580888674978,-38.84440678319589,3,-1.5937349265573104,-38.67536753796253,-171.27836050029177
20,1,20,-1.5937349265573104,-38.67536753796253,3,-1.7863155226175025,-38.516119212038426,-173.30375964731678
21,1,21,-1.7863155226175025,-38.516119212038426,-3,-1.9824693766519041,-39.23077080688034,-182.55626195701038
22,1,22,-1.9824693766519041,-39.23077080688034,-3,-2.181988728424424,-39.903870354503916,-192.03726098176182
23,1,23,-2.181988728424424,-39.903870354503916,-3,-2.384557508820865,-40.51375607928825,-201.56701572957638
24,1,24,-2.384557508820865,-40.51375607928825,3,-2.585328259179491,-40.15415007172517,-203.6551878368229
25,1,25,-2.585328259179491,-40.15415007172517,0,-2.786059965478776,-40.14634125985702,-199.98352231150778
26,1,26,-2.786059965478776,-40.14634125985702,3,-2.98400376771512,-39.58876044726877,-210.24838780381336
27,1,27,-2.98400376771512,-39.58876044726877,-3,3.1001393581254435,-39.808436267804616,-215.52548000777838
28,1,28,3.1001393581254435,-39.808436267804616,0,2.9028114798174642,-39.465575661595835,-197.8847386669148
29,1,29,2.9028114798174642,-39.465575661595835,3,2.7099783054327506,-38.566634876942715,-194.45844465272225
30,1,30,2.7099783054327506,-38.566634876942715,-3,2.517712222051933,-38.453216676163606,-188.55936143974708
31,1,31,2.517712222051933,-38.453216676163606,-3,2.3265006293856794,-38.24231853325069,-182.31051857252072
32,1,32,2.3265006293856794,-38.24231853325069,3,2.141192002260321,-37.06172542507167,-169.28066510105822
33,1,33,2.141192002260321,-37.06172542507167,0,1.959861495194929,-36.26610141307842,-150.72829657210735
34,1,34,1.959861495194929,-36.26610141307842,3,1.7849406864967476,-34.984161739636264,-147.31922353406037
35,1,35,1.7849406864967476,-34.984161739636264,-3,1.61210128157187,-34.56788098497553,-141.48819228937163
36,1,36,1.61210128157187,-34.56788098497553,3,1.445822832215462,-33.25568987128159,-130.0461091922638
37,1,37,1.445822832215462,-33.25568987128159,-3,1.2816013066060274,-32.844305121886904,-125.08734743943202
38,1,38,1.2816013066060274,-32.844305121886904,3,1.1237511932027366,-31.570022680658177,-114.98071692685005
39,1,39,1.1237511932027366,-31.570022680658177,0,0.9698377519015243,-30.78268826024247,-99.46031597779398
40,1,40,0.9698377519015243,-30.78268826024247,-3,0.8173858255996149,-30.49038526038187,-105.30695727210703
41,1,41,0.8173858255996149,-30.49038526038187,-3,0.6661006609148528,-30.257032936952424,-102.7672546671384
42,1,42,0.6661006609148528,-30.257032936952424,-3,0.5156424005921237,-30.09165206454581,-100.88018782381045
43,1,43,0.5156424005921237,-30.09165206454581,-3,0.3656341703755775,-30.00164604330925,-99.67831826353255
44,1,44,0.3656341703755775,-30.00164604330925,3,0.2201012817954941,-29.106577716016677,-93.96150950509197
45,1,45,0.2201012817954941,-29.106577716016677,3,0.07859503169237156,-28.301250020624508,-89.1269611680235
46,1,46,0.07859503169237156,-28.301250020624508,3,-0.05933147875193398,-27.58530208886111,-85.11249025522696
47,1,47,-0.05933147875193398,-27.58530208886111,0,-0.19633111904259334,-27.39992805813187,-75.2683353006028
48,1,48,-0.19633111904259334,-27.39992805813187,-3,-0.3350295117084462,-27.73967853317056,-86.51020038094238
49,1,49,-0.3350295117084462,-27.73967853317056,-3,-0.4758097176457945,-28.156041187469654,-89.40823997207961
50,1,50,-0.4758097176457945,-28.156041187469654,0,-0.6168230096322129,-28.20265839728369,-81.44134719344635
51,1,51,-0.6168230096322129,-28.20265839728369,-3,-0.7606400953366012,-28.76341714087764,-94.62628333518172
52,1,52,-0.7606400953366012,-28.76341714087764,3,-0.903136641862724,-28.499309305224585,-94.29934205686146
53,1,53,-0.903136641862724,-28.499309305224585,0,-1.0468231068275051,-28.737292992956217,-88.06239394124101
54,1,54,-1.0468231068275051,-28.737292992956217,-3,-1.1941444286972942,-29.46426437395781,-102.94419209279188
55,1,55,-1.1941444286972942,-29.46426437395781,3,-1.3408305919486212,-29.337232650265413,-104.05645533910635
56,1,56,-1.3408305919486212,-29.337232650265413,3,-1.4870165101489863,-29.237183640073024,-105.53738122761372
57,1,57,-1.4870165101489863,-29.237183640073024,-3,-1.6372048372778727,-30.037665425777266,-112.62833281912383
58,1,58,-1.6372048372778727,-30.037665425777266,3,-1.786936466095884,-29.946325763602275,-114.64395234329518
59,1,59,-1.786936466095884,-29.946325763602275,3,-1.9361525720244077,-29.843221185704763,-116.80521898467342
60,1,60,-1.9361525720244077,-29.843221185704763,-3,-2.08916148978782,-30.60178355268243,-124.46989431258481
61,1,61,-2.08916148978782,-30.60178355268243,3,-2.241308038841746,-30.429309810785174,-126.71159818095786
62,1,62,-2.241308038841746,-30.429309810785174,3,-2.392346619099968,-30.207716051644415,-128.8672226352728
63,1,63,-2.392346619099968,-30.207716051644415,-3,-2.546413281668881,-30.8133325137826,-136.3672490657916
64,1,64,-2.546413281668881,-30.8133325137826,-3,-2.7031266086408903,-31.342665394401894,-143.7707347142558
65,1,65,-2.7031266086408903,-31.342665394401894,0,-2.85984624679212,-31.343927630246025,-139.13778270546493
66,1,66,-2.85984624679212,-31.343927630246025,3,-3.0139220719173467,-30.815165025045335,-149.37607083003047
67,1,67,-3.0139220719173467,-30.815165025045335,-3,3.1138261342224465,-31.087420207958637,-154.12233548945304
68,1,68,3.1138261342224465,-31.087420207958637,0,2.959714132754859,-30.82240029351748,-138.80157472352687
69,1,69,2.959714132754859,-30.82240029351748,-3,2.8051553048269002,-30.911765585591784,-143.89820658285015
70,1,70,2.8051553048269002,-30.911765585591784,-3,2.650595911795588,-30.911878606262437,-139.68271733496795
71,1,71,2.650595911795588,-30.911878606262437,0,2.498670790079375,-30.38502434324264,-123.54174901992424
72,1,72,2.498670790079375,-30.38502434324264,0,2.3497386336555124,-29.786431284772537,-116.32950710071398
73,1,73,2.3497386336555124,-29.786431284772537,0,2.2041080751489432,-29.126111701313853,-109.12350031842507
74,1,74,2.2041080751489432,-29.126111701313853,3,2.0642482494474144,-27.971965140305784,-108.54868755778179
75,1,75,2.0642482494474144,-27.971965140305784,-3,1.925903409760274,-27.668967937428036,-104.10269839087333
76,1,76,1.925903409760274,-27.668967937428036,3,1.7936612064420128,-26.44844066365227,-95.03810397134859
77,1,77,1.7936612064420128,-26.44844066365227,0,1.665369062079774,-25.65842887244773,-79.70276778490826
78,1,78,1.665369062079774,-25.65842887244773,-3,1.538840011379219,-25.30581014011099,-84.8785455878424
79,1,79,1.538840011379219,-25.30581014011099,3,1.4185026709623438,-24.067468083375065,-76.98505113206427
80,1,80,1.4185026709623438,-24.067468083375065,3,1.3042747205874032,-22.845590074988106,-69.69776132125625
81,1,81,1.3042747205874032,-22.845590074988106,3,1.196036920102437,-21.64756009699325,-63.01420738653406
82,1,82,1.196036920102437,-21.64756009699325,0,1.0914247547041809,-20.922433079651213,-49.73086057315374
83,1,83,1.0914247547041809,-20.922433079651213,0,0.990280772061374,-20.228796528561368,-45.823700936966006
84,1,84,0.990280772061374,-20.228796528561368,-3,0.8902101739760151,-20.014119617071785,-53.0188691738978
85,1,85,0.8902101739760151,-20.014119617071785,0,0.7932449354648454,-19.393047702233943,-40.75521755631526
86,1,86,0.7932449354648454,-19.393047702233943,-3,0.6969532186454872,-19.258343363871642,-48.51709785697941
87,1,87,0.6969532186454872,-19.258343363871642,-3,0.6011197888761283,-19.166685953871777,-47.54291004832697
88,1,88,0.6011197888761283,-19.166685953871777,-3,0.5055146140624232,-19.121034962741035,-46.83912292978991
89,1,89,0.5055146140624232,-19.121034962741035,3,0.41432567161516176,-18.237788489452274,-43.12002170939657
90,1,90,0.41432567161516176,-18.237788489452274,3,0.32727536593473294,-17.410061136085762,-39.84656870196295
91,1,91,0.32727536593473294,-17.410061136085762,3,0.24409003071015437,-16.637067044915714,-36.97709970116247
92,1,92,0.24409003071015437,-16.637067044915714,-3,0.16007112355341707,-16.803781431347456,-37.36482086222803
93,1,93,0.16007112355341707,-16.803781431347456,-3,0.07498124244709509,-17.017976221264398,-37.989262400346604
94,1,94,0.07498124244709509,-17.017976221264398,-3,-0.011421619485878096,-17.280572386594635,-38.8624704677921
