k,l,t,current_theta,current_thetadot,force,next_theta,next_thetadot,reward
0,1,0,-1.1943778426045248,-9.431628547861727,0,-1.2439173928358347,-9.907910046261968,-16.02825386100723
1,1,1,-1.2439173928358347,-9.907910046261968,0,-1.2958699184104197,-10.390505114916984,-17.553320549479384
2,1,2,-1.2958699184104197,-10.390505114916984,-3,-1.3524772799753406,-11.321472312984183,-28.192653881516737
3,1,3,-1.3524772799753406,-11.321472312984183,3,-1.409312273370994,-11.366998679130665,-30.963547497614222
4,1,4,-1.409312273370994,-11.366998679130665,0,-1.4686203820546404,-11.861621736729267,-22.851671316506426
5,1,5,-1.4686203820546404,-11.861621736729267,-3,-1.5326204396302907,-12.800011515130066,-33.85403615545641
6,1,6,-1.5326204396302907,-12.800011515130066,0,-1.5990727550311452,-13.290463080170912,-28.128656538608958
7,1,7,-1.5990727550311452,-13.290463080170912,3,-1.6657432110257662,-13.334091198924213,-39.448809267953095
8,1,8,-1.6657432110257662,-13.334091198924213,3,-1.7326178896641238,-13.37493572767151,-40.65330103551497
9,1,9,-1.7326178896641238,-13.37493572767151,0,-1.8018852531206229,-13.853472691299801,-32.898714329855196
10,1,10,-1.8018852531206229,-13.853472691299801,3,-1.871270589503543,-13.87706727658404,-44.42582288792679
11,1,11,-1.871270589503543,-13.87706727658404,0,-1.9429343954107037,-14.332761181432108,-36.765567715588645
12,1,12,-1.9429343954107037,-14.332761181432108,3,-2.0145728363782864,-14.327688193516568,-48.4177746327465
13,1,13,-2.0145728363782864,-14.327688193516568,0,-2.0883173182718315,-14.748896378709043,-40.82078346242968
14,1,14,-2.0883173182718315,-14.748896378709043,-3,-2.16626537928247,-15.589612202127698,-52.55834054795994
15,1,15,-2.16626537928247,-15.589612202127698,3,-2.243830344766915,-15.512993096888978,-56.767129328662
16,1,16,-2.243830344766915,-15.512993096888978,-3,-2.325309952987759,-16.295921644168864,-58.239168562896566
17,1,17,-2.325309952987759,-16.295921644168864,-3,-2.4105147251179764,-17.040954426043392,-62.5910381106088
18,1,18,-2.4105147251179764,-17.040954426043392,3,-2.494803173011879,-16.857689578780573,-67.09231897510176
19,1,19,-2.494803173011879,-16.857689578780573,3,-2.5779896919491465,-16.637303787453444,-68.5383841538034
20,1,20,-2.5779896919491465,-16.637303787453444,3,-2.65988023347773,-16.37810830571665,-69.91014199058155
21,1,21,-2.65988023347773,-16.37810830571665,0,-2.7424902355719727,-16.522000418848613,-62.19905744960619
22,1,22,-2.7424902355719727,-16.522000418848613,0,-2.825592359746208,-16.620424834847018,-64.90391324508144
23,1,23,-2.825592359746208,-16.620424834847018,-3,-2.911167322803304,-17.114992611419204,-76.54371308636067
24,1,24,-2.911167322803304,-17.114992611419204,-3,-2.998951018115954,-17.556739062530042,-80.66677311568218
25,1,25,-2.998951018115954,-17.556739062530042,-3,-3.088670008982582,-17.94379817332559,-84.79244469627041
26,1,26,-3.088670008982582,-17.94379817332559,-3,3.103141241465397,-18.274811346321528,-88.89740141044659
27,1,27,3.103141241465397,-18.274811346321528,3,3.01482724854989,-17.66279858310141,-90.54430079678124
28,1,28,3.01482724854989,-17.66279858310141,-3,2.925378852026241,-17.88967930472984,-85.64336207171542
29,1,29,2.925378852026241,-17.88967930472984,-3,2.835066456837528,-18.062479037742524,-83.79326970201976
30,1,30,2.835066456837528,-18.062479037742524,0,2.746371148052383,-17.739061757029013,-72.81332397231529
31,1,31,2.746371148052383,-17.739061757029013,-3,2.6573114809038274,-17.811933429711168,-78.18020361624176
32,1,32,2.6573114809038274,-17.811933429711168,3,2.572560290317536,-16.95023811725829,-76.03301878316269
33,1,33,2.572560290317536,-16.95023811725829,0,2.4900848951937467,-16.49507902475789,-61.82138945976882
34,1,34,2.4900848951937467,-16.49507902475789,-3,2.407852030617228,-16.446572915303697,-67.21137712966103
35,1,35,2.407852030617228,-16.446572915303697,0,2.3282628990119276,-15.917826321060057,-56.03773307257766
36,1,36,2.3282628990119276,-15.917826321060057,3,2.2536807003603014,-14.916439730325255,-61.44176011332036
37,1,37,2.2536807003603014,-14.916439730325255,3,2.1842112671216922,-13.893886647721848,-56.64540091872507
38,1,38,2.1842112671216922,-13.893886647721848,0,2.117722607753292,-13.297731873680046,-43.157902915081095
39,1,39,2.117722607753292,-13.297731873680046,0,2.0542989759483254,-12.684726360993302,-40.106712515375634
40,1,40,2.0542989759483254,-12.684726360993302,-3,1.9917930558569126,-12.501184018282572,-46.190949698239535
41,1,41,1.9917930558569126,-12.501184018282572,-3,1.930278514795424,-12.302908212297725,-44.464158072695454
42,1,42,1.930278514795424,-12.302908212297725,3,1.8742477974884582,-11.206143461393161,-42.76603077142642
43,1,43,1.8742477974884582,-11.206143461393161,3,1.823711136947904,-10.10733210811084,-39.121789159684155
44,1,44,1.823711136947904,-10.10733210811084,-3,1.7742347931572955,-9.895268758121711,-35.845427789503916
45,1,45,1.7742347931572955,-9.895268758121711,3,1.730274453658667,-8.792067899725705,-34.53117988579552
46,1,46,1.730274453658667,-8.792067899725705,3,1.6918095459244071,-7.692981546851952,-31.69929422025771
47,1,47,1.6918095459244071,-7.692981546851952,-3,1.6543811075487376,-7.485687675133926,-29.22929420642521
48,1,48,1.6543811075487376,-7.485687675133926,3,1.622423160930333,-6.391589323680934,-28.288436242036134
49,1,49,1.622423160930333,-6.391589323680934,-3,1.5914673989048616,-6.191152405094298,-26.24652597387508
50,1,50,1.5914673989048616,-6.191152405094298,0,1.5637246134398257,-5.548557093007147,-16.49687921919552
51,1,51,1.5637246134398257,-5.548557093007147,-3,1.5369541892794405,-5.35408483207706,-24.304821914823656
52,1,52,1.5369541892794405,-5.35408483207706,-3,1.5111467279936734,-5.161492257153433,-23.677763338625876
53,1,53,1.5111467279936734,-5.161492257153433,0,1.488506439963844,-4.528057605965888,-14.081922399695411
54,1,54,1.488506439963844,-4.528057605965888,3,1.471218727574112,-3.4575424779463746,-22.128587677363736
55,1,55,1.471218727574112,-3.4575424779463746,-3,1.4548051668081887,-3.2827121531846615,-21.0178827205043
56,1,56,1.4548051668081887,-3.2827121531846615,0,1.441469017792188,-2.667229803200148,-11.659910274925636
57,1,57,1.441469017792188,-2.667229803200148,0,1.4311808362083143,-2.0576363167747713,-11.100576128581785
58,1,58,1.4311808362083143,-2.0576363167747713,0,1.4239121617886892,-1.4537348839249993,-10.664779650860694
59,1,59,1.4239121617886892,-1.4537348839249993,0,1.4196357750880286,-0.8552773401320916,-10.348963733722732
60,1,60,1.4196357750880286,-0.8552773401320916,3,1.4205413552655637,0.18111603550703304,-19.14997860240328
61,1,61,1.4205413552655637,0.18111603550703304,0,1.424372388350744,0.7662066170360676,-10.092969011930402
62,1,62,1.424372388350744,0.7662066170360676,0,1.4311071641929463,1.346955168440449,-10.202890761478999
63,1,63,1.4311071641929463,1.346955168440449,0,1.4407253147424623,1.9236301099032345,-10.421767399600727
64,1,64,1.4407253147424623,1.9236301099032345,-3,1.450992136724082,2.0533643963239117,-19.748482442671467
65,1,65,1.450992136724082,2.0533643963239117,3,1.4663372113577549,3.069014926734595,-19.94852143858465
66,1,66,1.4663372113577549,3.069014926734595,-3,1.4822940572094743,3.1913691703438736,-20.69260934911416
