trajectory,performance
1,-2014.128283070102
2,-2325.143115540785
3,-2269.178990146314
4,-2386.488582303018
5,-2478.5392951239273
6,-2734.063551554428
7,-3029.835587056671
8,-2578.013989165667
9,-2720.7012309670313
10,-2651.9041281792943
11,-2894.900551962092
12,-2403.6775435806608
13,-2608.5375954049987
14,-2573.0683764144246
15,-2818.159909247581
16,-2582.5207765886216
17,-2662.2296529719624
18,-2590.792417525607
19,-2362.9685426156293
20,-2260.8102443599164
21,-2191.7795298296483
22,-2314.07632767403
23,-2403.8173180724248
24,-1996.3542376821617
25,-1516.697431766594
26,-1731.7141474266684
27,-2059.1544263497904
28,-2093.826079154173
29,-2176.1660574284306
30,-2198.6025292718296
31,-2273.5647287519673
32,-1848.5548993199673
33,-767.235742639381
34,-644.2066905110294
35,-1001.4515685539656
36,-1444.8861614290397
37,-482.2578849105269
38,-250.26119703741537
39,-493.960105904484
40,-250.4411049430213
41,-351.7322174050607
42,-232.88727689537595
43,-247.59924628921493
44,-163.62642278608396
45,-447.73488613684225
46,-411.1396893003164
47,-271.6364043488472
48,-212.6072151120338
49,-117.29940151004085
50,-234.385244098868
51,-240.8550514551391
52,-161.1710840344582
53,-268.6873038094762
54,-237.561959360551
55,-182.44395458538654
56,-348.0664921036991
57,-137.6295440934594
58,-138.4446291900418
59,-200.68634894870027
60,-610.4472816145818
61,-503.20565196777017
62,-666.2450032837907
63,-658.0368885863173
64,-644.2858118674279
65,-500.6037546325923
66,-540.4603208958856
67,-978.6808929882799
68,-613.4546636163955
69,-1028.3250553378466
70,-994.0814395905559
