trajectory,performance
1,-2211.365736753718
2,-2633.5954921315347
3,-2203.4920725422908
4,-2426.8148567648773
5,-2745.364904770191
6,-2917.561653023269
7,-3098.74259550173
8,-3156.353996217848
9,-2929.227942912801
10,-3061.144780351323
11,-3268.4191178044593
12,-3346.7539467954407
13,-3591.6831952786392
14,-3460.5851110565977
15,-3256.053820650012
16,-3026.7206410868885
17,-2979.405585237913
18,-2649.4424901153916
19,-2533.7248858287867
20,-2462.077513430768
21,-2871.41045938816
22,-2695.4516307923527
23,-2838.646483409016
24,-2363.5395075703173
25,-2237.3881848892825
26,-2132.6166433160924
27,-2066.09682131947
28,-2045.2309942827856
29,-1975.0580499517387
30,-1897.8479197589052
31,-1311.716018184294
32,-1610.611720860143
33,-1589.2968667418393
34,-723.6793251718216
35,-695.881206450918
36,-499.8391376936868
37,-551.3898767034134
38,-558.7450157697056
39,-479.51253421025405
40,-537.2992451710112
41,-417.32822359197576
42,-410.92022581619625
43,-432.5982606142762
44,-405.3572353681045
45,-643.3945253521748
46,-480.7954851304772
47,-524.4878390822798
48,-210.99090685665342
49,-158.4399356266497
50,-130.01371525519792
51,-131.1074667581975
52,-121.23748081451994
53,-97.9299384507272
54,-93.20760196450436
55,-104.59148895790048
56,-93.76538084550006
57,-197.3702228715115
58,-196.77096489736766
59,-237.59712605801562
60,-100.17017527213036
61,-99.37509648396343
62,-116.49546095750647
63,-127.51070824048826
64,-128.31423462416868
65,-148.8441515407676
66,-159.64266080494784
67,-310.365462532737
68,-245.9459125482629
69,-307.61669182255287
70,-607.2532843837216
71,-591.5167420149597
72,-484.1805532136536
73,-461.9090995434231
74,-576.7955065863944
75,-625.2445025222607
76,-1948.8120554787342
77,-1623.3001646850505
78,-1552.6460430129591
79,-1256.5407822600857
80,-905.685702734045
81,-912.1568529572354
82,-778.5993612771437
83,-1079.859105468328
84,-655.0613710942404
85,-707.3624755463094
86,-573.0565520118855
87,-478.74701505824254
88,-472.04785345472465
89,-461.9704510393054
90,-488.6273855934375
91,-441.5280228780798
92,-411.6063230786782
93,-400.9764764639301
94,-352.77354219518287
95,-358.285896582601
96,-377.45814846033153
97,-281.9727907176764
98,-557.5977491084036
99,-360.7102027614424
100,-482.7891994168674
