trajectory,performance
1,-3745.99205656471
2,-2831.7115142873436
3,-2995.74369533529
4,-3377.270821612306
5,-3101.062379783537
6,-3302.0548195428396
7,-2617.1209426561327
8,-3414.476766106562
9,-3316.6927947681947
10,-3313.3176072270135
11,-3406.8969334015396
12,-3147.081113983028
13,-3123.8810155100455
14,-3411.4468946571133
15,-3355.9654246862656
16,-3283.376277051646
17,-3190.137785886775
18,-2927.2488787512957
19,-3152.210584356383
20,-2460.9857566876585
21,-2663.024312565396
22,-2493.938061052353
23,-2447.762725191937
24,-2351.1570990390883
25,-2634.716085316603
26,-2428.2893520217435
27,-2016.969879133871
28,-1832.599682780941
29,-1738.7768049214787
30,-2155.286439825818
31,-2279.587168253596
32,-2227.278157423025
33,-1780.063725962256
34,-2337.5310364331863
35,-1941.0393478486415
36,-1861.0159634122729
37,-2035.8751542517045
38,-1839.6936972498947
39,-2140.597481498233
40,-2106.412404937588
41,-1535.329041006506
42,-1532.5764845305594
43,-1494.8472909381787
44,-888.377968255258
45,-424.8311538636518
46,-601.2781727382903
47,-111.89102727677773
48,-210.46853259858358
49,-203.7871884926513
50,-123.03557843559113
51,-127.25036261538223
52,-107.54974903631684
53,-93.13083286763201
54,-92.65391246450262
55,-100.19040044457157
56,-104.35701265370925
57,-185.43992812070144
58,-127.56396972667036
59,-208.04420488535453
60,-273.9389037150779
61,-384.3816153490339
62,-339.12360542311217
63,-233.35299827503508
64,-791.7829865968359
65,-219.08430744608495
66,-319.7887980401962
67,-436.1714441971854
68,-316.55089835280137
69,-505.04994965541715
70,-344.93095584988555
