trajectory,performance
1,-2327.5726335922504
2,-2797.2610231971667
3,-2252.5644146207765
4,-2227.6902921695837
5,-2663.9655472671993
6,-2771.802862560626
7,-3100.7037155505654
8,-2851.6253885320025
9,-2286.972399492888
10,-3108.5040720712277
11,-3328.952621653654
12,-3494.5288962930995
13,-2973.77971354646
14,-3479.84191214795
15,-3053.7970127613357
16,-3490.102088227333
17,-3398.5041728811516
18,-3346.4170780156714
19,-3270.416135480612
20,-3227.294073188787
21,-3229.2837012501495
22,-3408.2509823386117
23,-3678.469370326315
24,-2343.044997946341
25,-2082.2382129332564
26,-2244.5532520271067
27,-2208.6973903502094
28,-1929.6873892836427
29,-2212.6637395121884
30,-1946.6128178337215
31,-2091.5526652752615
32,-2005.2204729861332
33,-1885.514342789735
34,-1732.3927346757873
35,-942.9136463421079
36,-648.2098515649488
37,-665.0951374752816
38,-572.5353740306808
39,-353.27380384516414
40,-571.8204479309011
41,-190.09812831342086
42,-149.6994928094255
43,-379.6028072559569
44,-230.7427022359784
45,-274.3246291687122
46,-464.3868510586938
47,-284.60482144103617
48,-500.21860353450097
49,-210.303701316987
50,-281.7149522172619
51,-195.77580432572069
52,-361.7454339934474
53,-308.61758039647225
54,-552.8634670006633
55,-626.0328248699292
56,-1280.058173739048
57,-345.69034003443653
58,-670.1779518121452
59,-567.6958069638399
60,-670.261473799659
61,-234.88374724939766
62,-188.11168532220788
63,-345.5186302544242
64,-493.52652601669524
65,-353.5343592644164
66,-367.22617214769423
67,-336.60633494164824
68,-764.1722274922018
69,-1116.6586121633864
70,-1788.1617705236886
