trajectory,performance
1,-2383.465765281984
2,-3087.685739661756
3,-3259.2592298386
4,-2437.279061666332
5,-2724.972394045943
6,-2458.843741895081
7,-2743.270021736006
8,-2763.3420747430796
9,-2756.227752968491
10,-3182.206022304149
11,-3089.1253243438014
12,-3178.896427473734
13,-3270.0772795587045
14,-2933.740027672253
15,-3149.822771952386
16,-2870.087044733622
17,-2870.8644813993956
18,-3137.212438018716
19,-2493.390120510223
20,-2612.2780037030743
21,-2704.9882410544596
22,-2756.1598330793295
23,-2621.245758103212
24,-2564.037428738293
25,-2578.2856872448133
26,-2652.0168075905244
27,-2366.662071070839
28,-2069.418195822848
29,-2073.3106818602437
30,-1701.1007410258435
31,-1366.001168805448
32,-724.828464396574
33,-1390.8586029844364
34,-617.6224401826595
35,-561.5820550867176
36,-432.5703127030938
37,-241.3041796424512
38,-141.21621277535638
39,-129.99634724209702
40,-141.13011178052253
41,-174.83757079774105
42,-133.73170015729232
43,-128.35034249208695
44,-142.17306325294123
45,-122.27479652695004
46,-112.92120762207855
47,-212.1288540993846
48,-235.33459837340965
49,-213.31742353743573
50,-212.3320174517818
51,-108.40847773795588
52,-99.45469726114789
53,-111.70280203414744
54,-120.17944407755805
55,-102.21856359261807
56,-100.19103598365635
57,-208.11927606568034
58,-124.76081517658196
59,-163.54196418631216
60,-279.51860298663576
61,-198.5219620629584
62,-356.496557829081
63,-336.1047552402763
64,-448.4005273772978
65,-527.2733464344306
66,-592.2798271251795
67,-556.0538370920759
68,-618.3659423894571
69,-440.69889129065075
70,-664.0548373188451
