trajectory,performance
1,-34689.741862362316
2,-35793.10853825112
3,-41566.69016303562
4,-41026.44105517352
5,-33140.125421682176
6,-29474.39573156254
7,-33816.11383460944
8,-25028.203969552615
9,-25037.453445170715
10,-26065.449074181484
11,-25543.586792420756
12,-20561.447379595007
13,-17225.138206197338
14,-6613.132715133313
15,-6276.175879797629
16,-6707.873567667022
17,-7390.108603351376
18,-7278.013540008873
19,-5518.90040116245
20,-5265.888573578844
21,-5004.1813345897135
22,-5193.6694186844
23,-5097.767464699737
24,-5146.680823072108
25,-4198.646323542667
26,-4224.691817983477
27,-5217.878456104368
28,-4765.812663878293
29,-4009.9606572721805
30,-4126.266143414052
31,-4937.609115045945
32,-3851.113135293517
33,-3890.1395175576713
34,-4754.1168691503735
35,-4510.38990409474
36,-4448.379457681447
37,-3393.5194342099476
38,-3492.602420098558
39,-4409.815768216914
40,-3677.4025461569786
41,-4258.020215597322
42,-3462.536367213053
43,-3580.2554558172283
44,-4340.205887562777
45,-4470.499962565405
46,-3483.3950810892443
47,-5318.967387767067
48,-4817.959115218287
49,-4337.008958915259
50,-3481.7807454694776
51,-3771.1967156785345
52,-3444.80629615154
53,-3747.884253279805
54,-3939.425669384158
55,-4010.1803790168083
56,-3923.350392428018
57,-3565.9777127371894
58,-3805.8981306906103
59,-3697.7858140998765
60,-3385.863700284501
61,-3369.156343006075
62,-3707.2938935224706
63,-3797.3895803084356
64,-3305.7403092466857
65,-3435.811568149896
66,-3449.038447195694
67,-3336.6415186948007
68,-3447.478945375325
69,-3429.4391991604753
70,-3372.5493710362043
