trajectory,performance
1,-55080.06236875058
2,-58131.50706412029
3,-56261.012825520964
4,-48040.90921649626
5,-42668.90684217209
6,-33664.779050692145
7,-28200.80672830726
8,-25635.735544805262
9,-37068.98655405234
10,-37030.04519551918
11,-33659.500444337384
12,-26955.845654158496
13,-14225.331450941994
14,-11456.691432195883
15,-12011.963210225795
16,-10783.058769119378
17,-7135.554003171909
18,-6143.095507434609
19,-6937.5057277947135
20,-6492.728294038111
21,-6519.628269080353
22,-7602.533340691448
23,-7505.457411739487
24,-7133.993213120905
25,-6462.421283777655
26,-6078.641748361409
27,-5633.3586131885095
28,-5316.2975217733365
29,-4774.07540923422
30,-5761.780410526686
31,-4990.157392940661
32,-5531.133458681864
33,-5815.427988374523
34,-6157.662427407773
35,-6574.395216377162
36,-6619.931701860624
37,-6855.876853643887
38,-6844.300516278118
39,-6680.986141266799
40,-6206.455273419012
41,-6224.163305316192
42,-5473.88438309936
43,-5277.030003398796
44,-4873.4915986215065
45,-4460.170226789437
46,-4444.957578477814
47,-4093.89300176457
48,-4021.8884148055345
49,-4067.8494874425573
50,-4266.06485061294
51,-4194.441492032336
52,-4189.514020866733
53,-3946.2299807434133
54,-3500.2093062573003
55,-4098.9400740025085
56,-4039.2468501595463
57,-3855.487040154834
58,-3928.956130023789
59,-4121.0444874789955
60,-3996.522769098478
61,-3977.6892146458467
62,-3950.9329196510307
63,-4088.1586462499417
64,-4078.661984232058
65,-4130.687165949663
66,-4045.00775311604
67,-4129.916381077925
68,-4015.1663070343875
69,-3263.0676948730083
70,-3982.8877470033362
