trajectory,performance
1,-35400.79087088107
2,-29015.793169329445
3,-29165.58690591615
4,-26698.212564270256
5,-40772.094012955495
6,-44274.92562507921
7,-41785.57024559594
8,-83411.83867498112
9,-59936.41347121677
10,-63185.836430308875
11,-57641.519261231595
12,-32197.244740099337
13,-33477.09841492517
14,-33081.87205019039
15,-16475.97134404194
16,-9671.084965404683
17,-8884.43401510255
18,-5896.6919110383005
19,-15188.784561493281
20,-12634.299601349821
21,-10423.841391831871
22,-17077.82635298809
23,-18204.622398983847
24,-14534.915030239383
25,-10121.722857927236
26,-7586.335748711143
27,-7909.560276498577
28,-4171.894550580597
29,-3925.1657460282568
30,-4306.359753140706
31,-4619.47180013087
32,-4605.863614499427
33,-5183.462790119339
34,-4543.407961178223
35,-5302.478851203579
36,-4654.668304655521
37,-5564.521430658485
38,-4571.901614776256
39,-5370.455674173773
40,-4420.55771255025
41,-5290.330879602024
42,-5161.876613052628
43,-4903.090122169939
44,-4945.915446329245
45,-3744.184448531886
46,-3784.872704725196
47,-4804.527062974465
48,-3689.0016152831554
49,-4729.628979218989
50,-4457.139109636369
51,-4529.735608676599
52,-4495.474700996414
53,-3634.6482947450113
54,-4450.245258468396
55,-4507.588844756238
56,-4453.5765932708055
57,-3385.839739661458
58,-4434.748300473698
59,-3416.508060911475
60,-4245.111249714311
61,-4381.925540394916
62,-3346.60872781323
63,-3559.021126935209
64,-3242.7275514716875
65,-3311.076723171094
66,-3391.221896008485
67,-3147.843469913384
68,-3182.270395209462
69,-3424.86445234214
70,-3182.137899131061
