trajectory,performance
1,-35394.181944455355
2,-30887.668366981736
3,-31615.03078730737
4,-32705.03176360721
5,-33125.582272040294
6,-12951.448929723487
7,-12328.87350816755
8,-17529.758964725144
9,-10846.171309607374
10,-10631.299327349245
11,-9110.88708489402
12,-7449.681789745485
13,-7921.255480501513
14,-11688.318742874057
15,-10361.805580032225
16,-13450.044252960965
17,-14096.676215408626
18,-17432.698059486254
19,-17003.565103296554
20,-13461.394955127244
21,-5471.299236225878
22,-5193.409633751989
23,-5394.82558237169
24,-4874.959553574717
25,-3992.1122956406016
26,-3785.1436156301515
27,-3588.940413643881
28,-3812.045460227772
29,-3687.031297634736
30,-4661.8287084457
31,-5126.307222623547
32,-5301.77709786171
33,-5312.036303236342
34,-5864.909928855679
35,-6409.930579512961
36,-6095.702664136956
37,-6090.375652868543
38,-5894.935600279554
39,-5636.725354738215
40,-4468.204809500593
41,-4983.319856899997
42,-3628.3990439038635
43,-3542.6485847400163
44,-3272.987548428738
45,-3129.0862954358026
46,-2953.014349505775
47,-3031.7673267414334
48,-3048.4586288889827
49,-3951.8414965945794
50,-4009.022237235146
51,-3903.797925383369
52,-3958.0640026999554
53,-3724.3266319979466
54,-3863.761217678184
55,-3747.644034531138
56,-3822.552913167118
57,-3174.940798060859
58,-3920.591649038191
59,-3128.81990854203
60,-3289.3668928191164
61,-3961.7601785955017
62,-3963.344847234754
63,-4086.7540735729326
64,-4073.2745963970406
65,-4021.8164916828296
66,-4016.877277830972
67,-4100.529826846815
68,-4080.9746440740146
69,-4022.760134992139
70,-4048.1318942702223
