trajectory,performance
1,-35796.040679331236
2,-29303.286220234993
3,-35921.52923870288
4,-28530.13072673668
5,-24979.143237021424
6,-24592.497506966854
7,-26519.545989765946
8,-21923.69958615167
9,-19082.264689401905
10,-16689.017311842177
11,-9404.607004506264
12,-8402.553356202503
13,-6213.498984604507
14,-7105.724138724082
15,-6021.454191897011
16,-5832.835744750972
17,-5434.917450614431
18,-5175.3554694087425
19,-5064.2888769076535
20,-5015.959635143928
21,-5390.763149188178
22,-5122.756055222045
23,-5070.290550424239
24,-5121.559443888994
25,-4893.151063939963
26,-4877.0573314856265
27,-4698.162109838984
28,-4779.82064695565
29,-4843.738607841326
30,-5027.12512095518
31,-5051.475202693057
32,-5021.845242141044
33,-5220.630415098796
34,-4442.4790634598985
35,-5477.206557441888
36,-5293.198127327495
37,-4516.593698108464
38,-4360.622594212174
39,-4378.391113261454
40,-4453.968660171374
41,-4589.335700069522
42,-4585.607963760138
43,-4600.336123188303
44,-4889.6585006674495
45,-4593.323020211994
46,-4419.892739133418
47,-4096.445392999385
48,-4028.668002739349
49,-3946.1298351737805
50,-3516.514472137328
51,-3759.2331525127715
52,-3492.6094833380557
53,-3411.2860093362215
54,-3369.2049114165
55,-3372.4769174431294
56,-3096.0076012732156
57,-3323.042869615015
58,-3199.2747053145076
59,-3264.8260838562946
60,-3287.8617693031606
61,-3349.622204080892
62,-3180.9465434260874
63,-3353.531078429194
64,-3213.0284875183825
65,-3362.955257884122
66,-3223.2374130856056
67,-3335.987253547334
68,-3354.539734514581
69,-3206.8374430676513
70,-3310.265944066311
