trajectory,performance
1,-93815.79027936063
2,-151099.72773189063
3,-49921.9353994276
4,-60837.9564868584
5,-27430.97437794247
6,-26540.454168009153
7,-23423.493235853046
8,-12836.660806102691
9,-23632.061821020503
10,-43531.19131030134
11,-20957.03721870217
12,-18031.508152010745
13,-25948.811202319663
14,-13991.632772418418
15,-7044.256604737787
16,-6854.576336550347
17,-6869.021829341538
18,-6408.079874469374
19,-6400.747802755827
20,-6073.781635105231
21,-6258.333344403033
22,-5302.589581331184
23,-5149.4933391632185
24,-4899.370896500905
25,-4664.103897419883
26,-4643.967399737081
27,-4612.5754014308
28,-4671.654366603132
29,-4839.685948033382
30,-4576.8805816517815
31,-4374.626917783403
32,-4466.030106205161
33,-4434.059437440166
34,-4448.8754872572235
35,-4151.1635842503965
36,-4128.6495884181895
37,-3256.882552243776
38,-3347.577748139245
39,-3525.330202517627
40,-3402.446346776249
41,-3437.167621293539
42,-3415.9758225690593
43,-3399.349030676347
44,-3181.9498976446102
45,-3243.5509181871676
46,-3298.9514289426884
47,-3273.986589128497
48,-3217.96694682276
49,-3114.3040882320233
50,-3169.691014084602
51,-3156.815558890006
52,-3178.411060729971
53,-3042.1954353078695
54,-3159.624891591031
55,-3179.495510254901
56,-3076.596568830705
57,-3103.407488178347
58,-2987.671615503489
59,-3054.2854874296295
60,-3014.7513245443743
61,-2998.8811557753675
62,-3101.3587758769636
63,-3151.4254150182715
64,-3053.0092131184374
65,-3143.876989414962
66,-2959.4625910072905
67,-3066.913041227567
68,-3166.7482763973644
69,-3090.198977583788
70,-3137.6075065717114
