trajectory,performance
1,-36096.51489142004
2,-36682.58664201636
3,-35672.80754262023
4,-35767.17561658246
5,-33829.643074443105
6,-42408.19929222777
7,-36446.76269067929
8,-30418.956042092475
9,-28248.837950867528
10,-24349.742047145686
11,-17104.969295933337
12,-17831.950847231266
13,-18210.50509738631
14,-10709.36839706499
15,-23547.88624052376
16,-23372.008852346717
17,-7239.468175702959
18,-8346.392516553104
19,-11808.027839713035
20,-7702.1774013764725
21,-6026.446344957955
22,-4779.631043178982
23,-5122.213216529429
24,-4252.047732758325
25,-5166.349146133574
26,-5110.319190667175
27,-5016.113933562757
28,-4740.0554406394685
29,-3769.2780744252887
30,-3893.008729808643
31,-4304.995547700767
32,-5177.456632291598
33,-4810.149540719327
34,-4397.1081601804
35,-4361.595908867782
36,-4348.615764309824
37,-4762.639300401565
38,-5058.392082859743
39,-5078.239539718037
40,-5038.858315939508
41,-5541.079987110626
42,-5793.978834583733
43,-5366.137218497889
44,-4470.56470567743
45,-4169.60954248198
46,-3768.951303300975
47,-4480.381886107859
48,-3388.5247992364184
49,-3160.421975143759
50,-3355.1939032618257
51,-3168.8405446283086
52,-3262.695008680362
53,-3358.5544088989486
54,-3273.71724402138
55,-3622.487022888327
56,-3617.872037668679
57,-3885.409073806054
58,-3697.0776421665487
59,-4559.884811594645
60,-3655.077326981591
61,-3697.5855796856104
62,-3644.356936184184
63,-3590.1208525067277
64,-3480.2582594122614
65,-3598.7386208879457
66,-4310.395799336147
67,-4210.908499839397
68,-4400.935641837297
69,-4485.696013069788
70,-4201.846898035652
