trajectory,performance
1,-35896.12586717488
2,-29928.39015506286
3,-28281.183251766575
4,-28464.72585486288
5,-53655.19524545453
6,-41139.9482752668
7,-44214.4241212669
8,-27673.957901692065
9,-30744.448666411437
10,-18632.685914183137
11,-7548.228341807724
12,-7506.991156562986
13,-14729.282696366256
14,-7591.59092979965
15,-6642.96842249644
16,-7313.525403096025
17,-6727.050725900278
18,-7089.634896844916
19,-6907.483584532263
20,-6060.171247041395
21,-5372.0978565178775
22,-5415.808034699341
23,-5801.619701524792
24,-5867.23636503111
25,-5402.294747133239
26,-3971.7522251225073
27,-4960.938967699836
28,-4928.511957604666
29,-4189.782325287285
30,-4411.373365272011
31,-4189.194333769318
32,-4800.200844438343
33,-3813.897108492565
34,-4588.350633012523
35,-4404.70361965727
36,-4877.571625307906
37,-3615.957099710932
38,-4458.4170528280465
39,-3586.723152176579
40,-3275.2739614212865
41,-3292.8648030880886
42,-3181.3568640326507
43,-3251.0363716666398
44,-3034.765198689003
45,-3053.918590384464
46,-3146.484240133801
47,-3196.042443892227
48,-3140.338597037252
49,-3180.7096608280463
50,-3964.461217818781
51,-3941.2474177450404
52,-3144.039229871066
53,-3194.781081218046
54,-3123.9727516348007
55,-3175.488551886704
56,-3246.4843183899957
57,-3185.7191568588696
58,-3026.912489280264
59,-3067.474974525344
60,-3164.062684530586
61,-3266.888239106594
62,-3350.1934500083835
63,-3213.062137442246
64,-3187.000875446461
65,-3294.289654873452
66,-3104.14579425248
67,-3278.745711320804
68,-3113.3458895529056
69,-3074.639669884703
70,-3250.30244846433
