trajectory,performance
1,-71150.03518885637
2,-27714.30536867434
3,-27030.419426811623
4,-29963.874991440523
5,-48589.543865064305
6,-45672.296822073215
7,-38805.96999802732
8,-44276.43440008255
9,-41506.61121611096
10,-38836.021064208435
11,-37579.814884386804
12,-36746.07828092898
13,-37081.6060132459
14,-35288.37160517493
15,-31685.99602597206
16,-17952.982652006052
17,-18193.75559452651
18,-15800.180247098848
19,-5381.55150120704
20,-4469.622630584552
21,-4032.3452206600964
22,-3712.6057208815887
23,-4177.718236732561
24,-3863.376733747126
25,-4273.082008647765
26,-4277.142820681944
27,-4561.628642107044
28,-4426.9966913893995
29,-4423.983698743544
30,-5074.54419766861
31,-4284.265498179385
32,-5454.670261082512
33,-4949.694788792468
34,-5874.66542254386
35,-4981.691491984275
36,-5159.499471298863
37,-5979.207903484371
38,-4838.144364099334
39,-4548.822200436693
40,-4368.925750379007
41,-5153.5531827043205
42,-4041.24370153317
43,-3399.997738118085
44,-3567.8625457084227
45,-3099.849332655583
46,-3102.5146467896925
47,-2991.0270575266027
48,-3190.4520575677907
49,-3114.82362311185
50,-3003.4368968857652
51,-3191.6294050578526
52,-4060.4549493954814
53,-3205.199610722147
54,-3054.487697197025
55,-3137.494310093805
56,-3050.986596738317
57,-2990.2315088107157
58,-3039.280165170472
59,-3108.4268162039125
60,-3010.6242040391385
61,-3057.8284851160224
62,-3103.0767502389695
63,-3015.1012574388865
64,-3104.8825310290035
65,-3034.3367186755695
66,-3123.656427406907
67,-3105.9428438428704
68,-2987.3856089308047
69,-3117.9142922583824
70,-3098.8659811998514
