trajectory,performance
1,-33048.08437632866
2,-33349.886241812506
3,-34577.56802337668
4,-37212.55224539346
5,-37406.43169918924
6,-40974.67112374021
7,-42551.240036486255
8,-32737.529727067624
9,-31619.61301091903
10,-26849.325413157712
11,-24406.25248589108
12,-28825.704729976038
13,-21181.124632145595
14,-15035.88972852098
15,-14840.916283047354
16,-12982.564850140327
17,-6160.357625399978
18,-5284.902786751107
19,-5382.062706985369
20,-5570.538960463768
21,-5317.199056162752
22,-5324.7746640054165
23,-4297.504852690847
24,-4871.309876086577
25,-4324.239698821894
26,-4800.480661015327
27,-4376.850786461193
28,-5593.644743339938
29,-4992.571536124788
30,-5072.636374662419
31,-5230.671205662631
32,-5234.767767838382
33,-4829.523474546153
34,-3727.241283651618
35,-4808.83720713727
36,-3825.656660532113
37,-4469.852717068772
38,-4620.085803712863
39,-4351.5583821964
40,-3497.025398597232
41,-4075.0769562360415
42,-3999.0851409686074
43,-4239.300267160645
44,-3244.8843142270503
45,-3414.149511502006
46,-4128.375355414444
47,-3301.812596297085
48,-3222.310263748404
49,-3503.5262541964494
50,-3360.9414043668335
51,-3391.9230827857587
52,-3342.5983845289966
53,-3478.516667394944
54,-3485.707120071917
55,-3464.5129443105175
56,-3442.5691456258864
57,-3565.627509429947
58,-3083.8302112063334
59,-3274.472837309453
60,-3211.5133777268848
61,-3302.282360370712
62,-3324.2108165182262
63,-4063.396721838801
64,-3252.6708847023515
65,-3191.4179632231094
66,-3155.139000423262
67,-3986.942038208205
68,-4327.493791928103
69,-4185.6201761345765
70,-3209.5056830050244
