trajectory,performance
1,-34060.28522188447
2,-34353.24228795873
3,-37522.67532149069
4,-44001.118648389514
5,-33646.94645009282
6,-53454.24456659365
7,-65414.63228219761
8,-88953.56965172206
9,-85857.942768839
10,-31328.278768193675
11,-39195.55702075974
12,-21906.131553241237
13,-7134.49741167525
14,-10030.7979102308
15,-7244.726034042074
16,-7000.824786642418
17,-4895.164995340505
18,-5724.198066077887
19,-5907.551356781841
20,-6361.317327485847
21,-7196.387842965655
22,-6975.372479437758
23,-5214.789877535536
24,-5041.897769129316
25,-4241.764730346778
26,-3894.117328897979
27,-3590.498190387223
28,-3611.6245217261444
29,-3654.127922019332
30,-3843.5165165101052
31,-3683.530252438258
32,-4514.646405852642
33,-4679.644694147528
34,-5538.823985385257
35,-4947.682210802768
36,-4805.94987262029
37,-4925.867774134214
38,-4680.081165800734
39,-5025.572123670439
40,-5098.778094137537
41,-5094.28016988973
42,-4690.126441126607
43,-4415.939034074679
44,-4194.208766679301
45,-3912.3959275451325
46,-3650.8941069602492
47,-3235.290194419297
48,-3061.0650148468803
49,-3178.2255516315986
50,-2970.803334945107
51,-3438.3637277887947
52,-4004.0076243061662
53,-4817.797200433732
54,-3146.128553047112
55,-3306.306379956536
56,-4866.780238719344
57,-3180.6568595330955
58,-4090.593909461275
59,-3170.818032543855
60,-2977.1029938659403
61,-3121.4817918588196
62,-3068.1000841411515
63,-3104.7436649224655
64,-3055.9477455742617
65,-3056.007044562791
66,-2983.8691438335
67,-3137.3064051114447
68,-3115.1387820384693
69,-3218.686673275597
70,-3056.3725441872516
