trajectory,performance
1,-33999.784618956546
2,-28482.561984762535
3,-31684.691361110392
4,-31683.69449776239
5,-29137.561367444112
6,-26483.44707327329
7,-16324.15457670088
8,-10631.169463014276
9,-10253.515641718124
10,-9770.54372859636
11,-7325.220240822893
12,-6921.032323933063
13,-6585.856165460418
14,-6586.014006898176
15,-6696.008696242661
16,-7258.037818018998
17,-8169.768440412197
18,-11504.528251236967
19,-14693.505117796902
20,-15243.669201998257
21,-14414.782413012093
22,-13731.384356609116
23,-17700.843339943487
24,-9853.467532684648
25,-9648.942115543185
26,-8806.989211391923
27,-8341.819348066718
28,-8863.988412049643
29,-8921.906243040487
30,-4719.260999400607
31,-8720.980072517827
32,-3980.2451231896703
33,-4696.204728471497
34,-4628.239283025695
35,-4659.99646942178
36,-3775.8858512863903
37,-4799.219523563636
38,-5043.380406966258
39,-5041.985782153868
40,-5219.5472573262405
41,-4135.605105123083
42,-4194.603410976626
43,-3973.7763845613936
44,-3963.3500007468338
45,-3979.641454833892
46,-3839.7243183387795
47,-3723.2502894362156
48,-3480.5138258793745
49,-3220.458128572171
50,-3193.4540521605395
51,-3220.4793262025632
52,-3268.5154427004063
53,-3244.2875268020985
54,-3212.0232415422356
55,-3149.2876854674423
56,-3177.773347114655
57,-3298.4991342033404
58,-3255.1398136672774
59,-3286.8210381242375
60,-3174.4272351435534
61,-3195.870108806806
62,-3217.183687750335
63,-3275.5802656191026
64,-3276.906305320025
65,-3238.397404943138
66,-3310.8311197983844
67,-3337.8171405619923
68,-3362.475210593757
69,-3303.374827093478
70,-3265.368716600466
