trajectory,performance
1,-31788.967311490225
2,-40176.74261793787
3,-36435.98648507321
4,-51631.78226798587
5,-58261.46610747281
6,-31522.40201476431
7,-43721.89587594279
8,-39103.73119113853
9,-41825.07787550417
10,-9591.325506348836
11,-9683.329948841325
12,-11779.39560744823
13,-7408.683481853546
14,-7113.456087551417
15,-7644.158584950891
16,-13415.137776830677
17,-13797.488283216222
18,-12564.90412087414
19,-14303.045769721086
20,-13517.854694464571
21,-7630.424701930203
22,-7218.785490797463
23,-12962.820786637752
24,-12658.898043661307
25,-7352.246206368661
26,-12691.935737301908
27,-12911.655916380718
28,-5046.416298402884
29,-4615.09502511374
30,-4690.310102070973
31,-3733.265207613158
32,-3624.2279021891673
33,-3624.7744375555435
34,-3990.5464413348955
35,-3880.0146821365456
36,-3748.2761694609017
37,-4099.21085181059
38,-4630.445804518906
39,-5478.267677585502
40,-4543.251107559654
41,-4450.697088169985
42,-4193.19748923013
43,-4216.544234412064
44,-4148.697995874425
45,-4097.435902936178
46,-4243.457101064611
47,-4019.7910324967547
48,-4072.5228488710054
49,-3693.1394229059297
50,-3691.787671204493
51,-3704.400010748733
52,-3586.756657932572
53,-3381.22149687162
54,-3327.1847077418715
55,-3371.002985769913
56,-3410.8028718392616
57,-3235.866340478762
58,-3252.5296099214916
59,-3074.625272287081
60,-2900.548752456745
61,-3018.5253052918533
62,-3064.2535272987093
63,-2976.612647094925
64,-2935.229217323246
65,-2989.731994302618
66,-3061.0510138950794
67,-3289.621793733125
68,-3090.2586245935954
69,-3249.9743126742896
70,-3169.9560454917096
