trajectory,performance
1,-63287.55549316882
2,-31786.273630431402
3,-28689.784340453774
4,-28569.134520938285
5,-40321.0228282666
6,-33456.19773441316
7,-38055.755788388895
8,-26417.32079132247
9,-24920.03182102756
10,-31173.331392211265
11,-17716.44368559013
12,-7867.493874993115
13,-5042.168260463537
14,-5039.433464228935
15,-6048.049483882406
16,-5606.0760007801555
17,-6097.513997370174
18,-7346.573871610138
19,-8744.810812602802
20,-8432.816408578865
21,-8310.134113100663
22,-6421.987584832422
23,-6634.025698521101
24,-6120.310556713367
25,-6074.792230256423
26,-6020.842455817706
27,-5536.472846554203
28,-5279.803186173295
29,-4576.082746695081
30,-6183.6604742705595
31,-3455.264462072602
32,-4309.79708767519
33,-3941.533540071352
34,-4131.30205049564
35,-4165.812453718082
36,-4144.69169766878
37,-4162.69396413756
38,-4446.131056180703
39,-4635.183644755379
40,-4403.645911609816
41,-4672.071831298824
42,-4228.533057129704
43,-3362.9019069931373
44,-3477.015638651888
45,-4209.978744798524
46,-3364.708883128459
47,-3496.1947527444886
48,-4314.279333396499
49,-4093.494293461904
50,-3244.884537194283
51,-3270.268976283912
52,-4149.34988775402
53,-4216.020569455455
54,-4112.680359804217
55,-3430.1814575951266
56,-3118.6730159554463
57,-4013.862950612207
58,-4185.9124293969035
59,-4210.412445676601
60,-4059.9847442579476
61,-4062.157976324679
62,-4004.681506587903
63,-4012.473831900481
64,-4289.046008964068
65,-4121.265717995927
66,-4032.314302289345
67,-4371.9274991656575
68,-4169.928060083735
69,-4371.547903366197
70,-3293.498518343838
