trajectory,performance
1,-41544.959961456974
2,-68939.29988422949
3,-33340.42026676993
4,-25995.201954904835
5,-26939.62615489009
6,-25586.915272068174
7,-36080.73765167849
8,-35294.37649848763
9,-13730.283149487566
10,-11264.575345746249
11,-24534.477396044254
12,-14665.764752596813
13,-6288.685857819681
14,-6923.329251790365
15,-7578.674106922402
16,-7172.7770794522585
17,-5325.472327421125
18,-5132.014955201603
19,-6634.3395263799575
20,-6077.445939523838
21,-4781.308620714649
22,-4795.4006139450685
23,-5779.33979746256
24,-4886.838598544574
25,-4728.9098851957
26,-4727.465279595442
27,-4503.646794148566
28,-4551.911534474272
29,-4361.952483037727
30,-4597.848615045918
31,-4834.847625322075
32,-4616.330489080898
33,-4826.96578427739
34,-4631.158555466216
35,-4782.170713022532
36,-4653.574116273986
37,-4625.462309914109
38,-4528.574473300454
39,-4461.216580143627
40,-4409.492845135615
41,-4482.564373261577
42,-4323.524160577242
43,-4333.245687723589
44,-4216.2135393260305
45,-4231.402889055789
46,-4244.006713871638
47,-5010.405292941696
48,-5946.567354426176
49,-4206.675133789824
50,-4155.578014291404
51,-4117.147341965359
52,-4153.997061374874
53,-4033.524060461924
54,-3958.472468500961
55,-4032.70192052367
56,-4229.698503599047
57,-4091.0680068922998
58,-4060.000659894039
59,-5737.863220615306
60,-4071.997805822155
61,-3950.8536679525255
62,-4109.8345592676515
63,-3956.924256017836
64,-4054.225672948386
65,-4056.590716734113
66,-3264.0460987562506
67,-4082.7965638041155
68,-4094.853088081754
69,-3930.81500355015
70,-4120.532165436216
