trajectory,performance
1,-46203.26523534457
2,-125368.08218865203
3,-68240.2155660007
4,-23672.179827721757
5,-25827.725324446
6,-21490.224472415557
7,-13079.387305969241
8,-9365.142923263425
9,-8089.0779678749905
10,-8235.970620327867
11,-7499.315698893419
12,-18237.299240115084
13,-19031.281721516352
14,-7702.113294527192
15,-6064.805108107481
16,-6713.974778371236
17,-5611.813454618688
18,-5108.006670062711
19,-5312.630928575727
20,-5719.834424651988
21,-6044.351773248611
22,-5596.028396802225
23,-3829.3312815631184
24,-4674.20728839302
25,-4341.490618468298
26,-4364.359447972394
27,-4350.890885637633
28,-4425.338741864922
29,-4140.91981681392
30,-4266.125216878125
31,-5245.1955001794
32,-5635.033576404585
33,-5772.396143172816
34,-5430.71705620836
35,-5470.25001223036
36,-5368.057839052144
37,-3819.7651859082116
38,-4636.118946179391
39,-3596.980881872448
40,-3356.837816224184
41,-3154.0858526943557
42,-3342.0673767786047
43,-3128.6166430316243
44,-3005.9202245020306
45,-3300.010299283817
46,-2942.967203297058
47,-3047.6575322534677
48,-4088.615878597533
49,-4033.062826723695
50,-3045.2538263117885
51,-4172.134228054017
52,-3158.8800169139436
53,-3150.8509129594304
54,-4201.031965510636
55,-4191.668342609146
56,-3400.059736701618
57,-3233.3329922871967
58,-3190.935848459373
59,-3302.738891104722
60,-4154.946852800976
61,-3966.9021096961424
62,-3855.2183274677645
63,-3098.7234319905806
64,-3839.162542059843
65,-3907.669014588517
66,-3860.0173815974317
67,-3327.6330835514495
68,-3972.289346608698
69,-3246.962884333947
70,-4015.2794547103103
