trajectory,performance
1,-36635.67581895258
2,-30700.25645512508
3,-30475.91588760466
4,-28731.4165251048
5,-54543.035626805126
6,-64673.42494037569
7,-76696.9841587508
8,-89956.12545643878
9,-31277.899213079305
10,-29851.795333435086
11,-32697.44748961502
12,-24019.836792635266
13,-13379.65488603602
14,-8015.025212919863
15,-8377.880225469813
16,-8093.594766506148
17,-6968.842912254052
18,-6671.950795141103
19,-6764.4891140190375
20,-5660.57159075781
21,-6240.467555313464
22,-5962.560146004443
23,-5599.956578379986
24,-3919.5442540729905
25,-4263.862149385577
26,-4195.759736290622
27,-4003.8411674125
28,-4711.044964787787
29,-4079.489472464432
30,-3966.9727519906924
31,-4710.688310206908
32,-4607.215208134905
33,-3892.4199207320207
34,-4400.23308498219
35,-5378.249357451249
36,-5329.741570653702
37,-4853.2038498430165
38,-5936.464443924118
39,-5057.87442536566
40,-5222.3262170560665
41,-5005.644607625747
42,-4966.201464983697
43,-4764.336357529289
44,-4482.167939526276
45,-5295.156235777302
46,-4424.447991492194
47,-4313.072416007952
48,-4128.766525289189
49,-4187.99597950529
50,-3742.7599843214502
51,-3372.1527343704106
52,-3370.0479313692795
53,-4210.1328961276895
54,-3191.8391871156778
55,-3150.7858577666975
56,-3193.1503253582246
57,-3024.7489132777496
58,-3079.953688668506
59,-3190.412513980515
60,-3201.0754157777997
61,-3234.599924056424
62,-3022.497669658552
63,-3244.355022988066
64,-3382.8161842152226
65,-3164.344171989996
66,-3169.5790407646437
67,-3130.154439795946
68,-3114.3932833873023
69,-3146.540148043416
70,-3113.275949127396
