u,index,value
-3,0,-534.3250059418074
-3,1,-2661.852969126897
-3,2,-409.01991998339923
-3,3,-828.0214367806007
-3,4,-1646.5887860440296
-3,5,-2296.124398000905
-3,6,-1254.290503651358
-3,7,-1311.3136583153496
-3,8,-782.8580955050795
-3,9,-1777.3700149118067
-3,10,-5055.692633232585
-3,11,-1260.2573028696693
-3,12,-3844.705773195275
-3,13,-331.6075167088826
-3,14,-1605.1686775603137
-3,15,-858.0320947186254
-3,16,-2482.63460437399
-3,17,-1123.1060070304743
-3,18,-311.17247727416554
-3,19,-296.1011429899181
-3,20,-1684.6751212346578
-3,21,-5312.811271753478
-3,22,-1161.4206493721995
-3,23,-4088.78560725887
-3,24,-780.4442905151369
-3,25,-1826.4981271529914
-3,26,-1685.7759956220477
-3,27,-1537.207753617764
-3,28,-1218.4596796550643
-3,29,178.3064767583263
-3,30,-303.06791000002323
-3,31,-3170.4256484561856
-3,32,-4239.000393466552
-3,33,-346.34251104948714
-3,34,-2154.2749119574005
-3,35,-1608.2349702407066
-3,36,-2298.0224673132852
-3,37,-126.71741200848595
-3,38,-2519.04644375787
-3,39,111.17614801851786
-3,40,857.0730489641844
-3,41,-1342.4207250584275
-3,42,-3458.6838477091483
-3,43,-4051.5000661164204
-3,44,-212.9628915562489
-3,45,-1879.6669728982895
-3,46,-3358.4716794537317
-3,47,-1783.7649606223358
-3,48,-1624.8391214736807
-3,49,-2030.7248073538522
-3,50,2091.9160052974557
-3,51,-1342.394239663471
-3,52,-2485.424649480837
-3,53,-3232.081021634566
-3,54,-3571.8580527862196
-3,55,-249.48005454048902
-3,56,-1933.6648368440242
-3,57,-2829.039066683477
-3,58,-711.4942379586511
-3,59,-1669.7845969027119
-3,60,1165.6257239606114
-3,61,918.2872810255094
-3,62,-3417.3076636769365
-3,63,-639.5378481245908
-3,64,-3604.9414489025535
-3,65,-4270.539871718801
-3,66,-134.51752449790433
-3,67,-1438.876064996595
-3,68,-3278.4048613134623
-3,69,-2415.461378647107
-3,70,-784.0510430407974
-3,71,1266.3524913338676
-3,72,-2100.7405266462015
-3,73,-2641.572070855351
-3,74,-895.6404664207117
-3,75,-4518.873227330077
-3,76,-4776.587519519343
-3,77,-224.42156463812046
-3,78,-2173.4062026741485
-3,79,-2991.6545553799574
-3,80,42.78724648659514
-3,81,1713.2228179140718
-3,82,-1487.68799441653
-3,83,-1461.8886650329382
-3,84,-1390.3770649944522
-3,85,-1909.112568404938
-3,86,-3506.593789327307
-3,87,-4901.466886422767
-3,88,-822.8453771141216
-3,89,-3914.9104032290247
-3,90,-2054.7210071072736
-3,91,-494.76190957691995
-3,92,78.31206071409272
-3,93,-2415.9196527712998
-3,94,-590.748209778129
-3,95,-2885.4107056050716
-3,96,-911.4681083675223
-3,97,-2874.2797076888546
-3,98,-5347.197095794513
-3,99,-1634.2820597609002
-3,100,-4511.55027658752
-3,101,21.403887735319515
-3,102,1275.5180040943267
-3,103,-1382.6426338361312
-3,104,-1182.2668553932042
-3,105,-1479.7657167785007
-3,106,-1767.0401955534733
-3,107,-1066.2190332444052
-3,108,-2792.9567416217506
-3,109,-5581.498710876474
-3,110,-1954.6935420315056
-3,111,-3295.8787288663702
-3,112,-99.30707010963073
-3,113,-1240.0942239413948
-3,114,-1193.6415761468415
-3,115,-2407.8830469832174
-3,116,-1253.5897121807798
-3,117,-1140.9942749539669
-3,118,-994.5339901245288
-3,119,-1606.3015580388264
-3,120,-5132.938034550247
0,0,-1799.5494380964253
0,1,-2982.1019258518113
0,2,-6.449590128079066
0,3,-1141.2046443804747
0,4,-1512.5934809899506
0,5,-2367.907936830256
0,6,-1153.1813433212892
0,7,-1371.983522240695
0,8,-644.8866172670254
0,9,-2152.0460222488637
0,10,-5000.03189707477
0,11,-1186.9023463599012
0,12,-3591.3947385683023
