u,index,value
-3,0,-3956.785989185129
-3,1,-2908.3002817102592
-3,2,-253.29104286878754
-3,3,-1153.073396088294
-3,4,-976.1421988266846
-3,5,-3158.1115618734075
-3,6,-1048.5003084629532
-3,7,-1459.8423668820485
-3,8,-316.1371072177486
-3,9,-2914.2797581305454
-3,10,-3103.6443756168565
-3,11,-4079.4396287081245
-3,12,-2436.2057323500994
-3,13,-483.95244110149974
-3,14,-1781.2588933697084
-3,15,-672.802048864576
-3,16,-2155.167663985862
-3,17,-947.9708381810665
-3,18,-813.280041248127
-3,19,597.1180315037177
-3,20,-3094.738659009482
-3,21,-4140.613896536506
-3,22,-4682.6618997761925
-3,23,-3535.901354718152
-3,24,-929.4216241597848
-3,25,-2071.5990223107656
-3,26,-1529.9388851430149
-3,27,-1579.4272931058617
-3,28,-1289.015001930981
-3,29,265.4387892372025
-3,30,-371.32838546507304
-3,31,-3670.551746691137
-3,32,-2104.2136695669465
-3,33,-3536.8243281592772
-3,34,-4107.15315560156
-3,35,-180.61653014392394
-3,36,-2592.7447965336887
-3,37,-124.23779798581104
-3,38,-2570.6890292148773
-3,39,-5.829705353330493
-3,40,932.6914873067377
-3,41,-1411.8064465262028
-3,42,-4093.2595617805464
-3,43,-1212.7417329439636
-3,44,-1563.0407466584338
-3,45,-3684.812370384879
-3,46,-2206.231841892609
-3,47,-2038.187450250036
-3,48,-2237.484748008286
-3,49,-914.1489715852051
-3,50,1665.8050428779245
-3,51,-1419.3623369381328
-3,52,-2146.75847286696
-3,53,-3695.36083487356
-3,54,-1184.810128403381
-3,55,-2051.4677107131592
-3,56,-5315.905470553237
-3,57,-938.7797835118165
-3,58,-963.4083059580211
-3,59,-2055.3765200353355
-3,60,669.3902980551559
-3,61,383.7892954247101
-3,62,-2496.8014170059364
-3,63,-1165.7625123802918
-3,64,-4550.7932106683065
-3,65,-1597.7804033017842
-3,66,-2168.0994263962734
-3,67,-4510.124958307449
-3,68,-741.1020544405205
-3,69,-3995.141120562401
-3,70,-95.14805590745559
-3,71,1650.4096366257158
-3,72,-1961.6488449547746
-3,73,-1897.8480247929997
-3,74,-1435.885256022454
-3,75,-4436.246214035504
-3,76,-1207.8730436097783
-3,77,-1423.1081072838047
-3,78,-3307.626110396327
-3,79,-1588.5997827423166
-3,80,-858.6883551654311
-3,81,2051.514057359116
-3,82,-1536.4946931546283
-3,83,-1876.1668818945582
-3,84,-1316.960080531995
-3,85,-1979.1964148440607
-3,86,-3785.607069345352
-3,87,-1335.1688781312441
-3,88,-1714.1481244740564
-3,89,-3610.933714028427
-3,90,-2103.3004319151787
-3,91,-505.69169037297786
-3,92,534.8314443975304
-3,93,-2533.0007054820826
-3,94,-344.15213217640894
-3,95,-2840.212916727022
-3,96,-319.07656084079684
-3,97,-4612.806484125166
-3,98,-2043.765443230312
-3,99,-3225.8640724588126
-3,100,-3715.868812025874
-3,101,-71.38162266749791
-3,102,1279.1045654010984
-3,103,-1137.8320821350408
-3,104,-1729.7169866405861
-3,105,-1194.398474030171
-3,106,-2187.833370940697
-3,107,-109.2118549021614
-3,108,-4977.861907491748
-3,109,-2520.1198991875076
-3,110,-4621.759090277496
-3,111,-2376.724483745523
-3,112,-363.35622134639
-3,113,-1270.1770749190623
-3,114,-817.0229159482369
-3,115,-2932.8819821429342
-3,116,-935.1982274362588
-3,117,-1613.8184470977203
-3,118,-14.52146909099987
-3,119,-3356.0803586641928
-3,120,-3063.6723411847397
0,0,-4223.96940969754
0,1,-2816.172131043123
0,2,-312.5202504422894
0,3,-1029.990481913223
0,4,-1175.921607189212
0,5,-3091.5372700252947
0,6,-975.8217301007217
0,7,-1500.717628046791
0,8,-298.6606060357671
0,9,-2953.6106436268374
0,10,-3367.529505349083
0,11,-4591.863998858786
0,12,-1905.3315884099459
0,13,-560.4740635371288
0,14,-1784.1235832965085
0,15,-570.6770026150665
0,16,-2209.543182880396
0,17,-889.0100953053471
0,18,-738.4805953029747
0,19,590.5033778364707
0,20,-3380.548923537902
0,21,-3613.657274985134
0,22,-4164.911884165919
0,23,-3501.859954926452
0,24,-992.0328176248912
0,25,-2000.3219200019
0,26,-1585.6102527030002
0,27,-1530.179128793621
0,28,-1239.2279573418461
0,29,301.4069697897212
0,30,-451.85971381636415
0,31,-3684.800742659565
0,32,-2179.9721873624703
0,33,-4714.133342763159
0,34,-3540.121889833584
0,35,-254.9944560137708
0,36,-2602.721212890461
0,37,-59.69278761602855
0,38,-2673.0932341468574
0,39,237.79088807882363
0,40,814.7714637527471
0,41,-1532.8911332326861
0,42,-4120.381245209593
0,43,-1581.6102153267072
0,44,-2004.6309674019847
0,45,-3605.803854760406
0,46,-2179.4402492840672
0,47,-1988.6876974208783
0,48,-2264.531846739197
0,49,-713.9462957070614
0,50,1628.1148449198683
0,51,-1553.562643969341
0,52,-2052.8427664090505
0,53,-3753.2612496400093
0,54,-1376.7376414291687
0,55,-1807.237252445339
0,56,-5375.326100812236
0,57,-673.8240269242064
0,58,-990.8962976985711
0,59,-2038.8558783447259
0,60,818.5384268388588
0,61,180.48398307300613
0,62,-2344.5928219731786
0,63,-1429.6119152719673
0,64,-4410.7299478891855
0,65,-1703.4003330168584
0,66,-2086.9031875789283
0,67,-4290.281253259546
0,68,-872.8804856588761
0,69,-3981.5857347412298
0,70,170.36331365222884
0,71,1557.7933789207411
0,72,-2126.408540121068
0,73,-1774.3662604523217
0,74,-1507.7580535644122
0,75,-4397.981378131894
0,76,-1461.1532786677465
0,77,-1626.5320420274297
0,78,-3203.0916268095843
0,79,-1486.0209885915476
0,80,-598.6662569249692
0,81,1950.371786041832
0,82,-1686.3071705435104
0,83,-1748.9393530142172
0,84,-1288.3554708810143
0,85,-2147.7072986867474
0,86,-3895.952630940952
0,87,-1386.0173314784545
0,88,-1828.242475986793
0,89,-3440.2491783924625
0,90,-2152.5569909331402
0,91,-245.765718549822
0,92,353.8210280904221
0,93,-2428.0745962758283
0,94,-414.4095359410867
0,95,-2807.4721647820943
0,96,-339.5497302602734
0,97,-4256.928816585993
0,98,-2340.4222894034233
0,99,-3561.2335522528692
0,100,-3543.5711146479216
0,101,87.03562741138455
0,102,1207.2266993799628
0,103,-1227.515137085478
0,104,-1689.470466771573
0,105,-1204.5093893061644
0,106,-2213.258500177717
0,107,-95.1913065990236
0,108,-5336.43788306888
0,109,-2817.5980659008437
0,110,-4552.244655461238
0,111,-2167.325814924815
0,112,-387.8300515655172
0,113,-1247.490813492541
0,114,-864.0393759526023
0,115,-2922.344913644276
0,116,-902.1943238883036
0,117,-1559.2226972104872
0,118,-125.4441015446046
0,119,-3157.7676111696965
0,120,-3332.782201986774
3,0,-4910.280868433603
3,1,-2234.1272658265643
3,2,-379.4637976306226
3,3,-1045.330734474939
3,4,-1214.7076806404546
3,5,-3110.538079695675
3,6,-899.6904691657916
3,7,-1567.2721751783738
3,8,-197.2717325164904
3,9,-3411.167414450425
3,10,-2678.7081660749877
3,11,-4092.9286537833295
3,12,-1942.666947907953
3,13,-737.6088498999565
3,14,-1662.1177235470134
3,15,-681.5172320996946
3,16,-2209.6966243843244
3,17,-863.6673329425801
3,18,-728.1112870548086
3,19,671.0456338304853
3,20,-3828.0208037188786
3,21,-3461.203266917509
3,22,-4913.35715683098
3,23,-3269.0090064979895
3,24,-884.3335953434632
3,25,-2146.0284092862175
3,26,-1485.2256718764645
3,27,-1606.0419183431673
3,28,-1160.1289158026734
3,29,333.3226404023794
3,30,-665.9012907231842
3,31,-3661.802502847873
3,32,-1942.8514300746597
3,33,-4253.38376195433
3,34,-3122.1891968405885
3,35,-596.0523024932344
3,36,-2367.5553951456986
3,37,-135.93151244044572
3,38,-2717.977642985318
3,39,425.1603148177961
3,40,673.317834405733
3,41,-1572.5943583188323
3,42,-4204.577447917432
3,43,-1644.7498886599474
3,44,-2091.709768344742
3,45,-3775.077698003583
3,46,-2135.7084196520304
3,47,-2034.6588649147548
3,48,-2372.742297239996
3,49,-520.2539777675512
3,50,1579.0310046690852
3,51,-1715.603047706943
3,52,-2217.723301448295
3,53,-3742.921205092199
3,54,-1467.3709378496815
3,55,-2041.4299842345386
3,56,-5210.533648357767
3,57,-486.3502366183913
3,58,-1217.1270963200257
3,59,-1849.145038614015
3,60,889.6364136614964
3,61,-2.7485659852472812
3,62,-2288.9032067307116
3,63,-1419.1351502185878
3,64,-4216.268318079419
3,65,-1364.4742286447174
3,66,-1680.785772887158
3,67,-4220.329245584693
3,68,-872.0135431456698
3,69,-4046.218185475899
3,70,435.6589040387569
3,71,1388.6482879038065
3,72,-2208.9755082582633
3,73,-1747.1167679178407
3,74,-1700.0428589332257
3,75,-4600.133174462969
3,76,-1486.68055027962
3,77,-1588.8488935460687
3,78,-3047.747533167392
3,79,-1565.491951326872
3,80,-520.6676052277354
3,81,1932.0286919515331
3,82,-1877.2686917931924
3,83,-1630.7782871047452
3,84,-1371.1164639242022
3,85,-2033.6987837841384
3,86,-3779.033865880396
3,87,-1163.2825491670424
3,88,-2170.9520112015625
3,89,-3443.255576809849
3,90,-2151.74155714436
3,91,40.759829763942356
3,92,95.4893531640539
3,93,-2360.7800213270443
3,94,-496.7900483058979
3,95,-2804.0722248290695
3,96,-449.79034038823676
3,97,-4930.193959441554
3,98,-1636.1242314346994
3,99,-3761.121240561586
3,100,-3304.7167070889955
3,101,194.9491855633514
3,102,1026.4338317747824
3,103,-1277.970565294644
3,104,-1693.8299281011052
3,105,-1210.1114182240774
3,106,-2213.4292362594133
