u,index,value
-3,0,-4570.177908897881
-3,1,-2790.694088700206
-3,2,-376.23152864715354
-3,3,-1293.1315161854582
-3,4,-1021.0195032699331
-3,5,-2638.557706531495
-3,6,-1277.7662427458745
-3,7,-1543.3739927150673
-3,8,-703.2075876547616
-3,9,-2328.9671719209564
-3,10,-4801.750817400002
-3,11,-5379.44636871243
-3,12,-2621.6157031150333
-3,13,-515.827133308463
-3,14,-1809.6937556327955
-3,15,-810.6652298183666
-3,16,-2241.0048530633103
-3,17,-1084.7552175869057
-3,18,-749.1818615526477
-3,19,19.910408065248077
-3,20,-2355.8214807722397
-3,21,-5007.421493462015
-3,22,-3722.9244295589474
-3,23,-3756.552150767181
-3,24,-652.4101417125723
-3,25,-2303.1681517385537
-3,26,-1372.2737130713226
-3,27,-1513.44856790099
-3,28,-1338.6989393756874
-3,29,22.984653712978577
-3,30,-360.21278528880435
-3,31,-3591.139747456893
-3,32,-3995.673736988052
-3,33,-4159.159630606454
-3,34,-4514.294475258624
-3,35,66.43663516563421
-3,36,-2424.537541815183
-3,37,-651.6976580556469
-3,38,-2186.3668436751996
-3,39,-199.57100652967108
-3,40,666.8107577909119
-3,41,-1204.7562423601723
-3,42,-4195.573724802985
-3,43,-2817.192825920833
-3,44,-3384.9711500104822
-3,45,-4208.949406182502
-3,46,-1743.4975111401118
-3,47,-2317.8137828133385
-3,48,-1852.7434658453387
-3,49,-1116.8975122212998
-3,50,1085.5071613087293
-3,51,-846.8847846137581
-3,52,-2558.507669605654
-3,53,-3991.339299037355
-3,54,-1570.6541297446565
-3,55,-3492.2357795736775
-3,56,-4814.532650102432
-3,57,-776.6680541787377
-3,58,-845.3241890276413
-3,59,-2361.2433466946773
-3,60,511.0929834865905
-3,61,498.19837252923685
-3,62,-2120.6922614980845
-3,63,-1968.7070505333052
-3,64,-3580.4520084444744
-3,65,-878.2111220288353
-3,66,-3456.6617826758625
-3,67,-4616.781320431112
-3,68,-1021.5368467731977
-3,69,-3725.5016156572706
-3,70,-699.3734437184105
-3,71,2562.909671657166
-3,72,-2511.1034135825635
-3,73,-1494.3078024300087
-3,74,-2083.8213337990737
-3,75,-4189.156838578763
-3,76,-904.6827966270948
-3,77,-2272.1640913022325
-3,78,-3761.029701765703
-3,79,-1223.3386504776752
-3,80,-980.2139219828431
-3,81,2538.674167759899
-3,82,-1548.6424051382319
-3,83,-2238.158809236453
-3,84,-915.5949448779055
-3,85,-2452.9346138803617
-3,86,-3862.9328221365386
-3,87,-1795.1671642178515
-3,88,-2027.6724008243218
-3,89,-4038.288080811342
-3,90,-1964.5180829890355
-3,91,-935.3075700376792
-3,92,671.1892720832205
-3,93,-2678.9387268579385
-3,94,-61.238278614642795
-3,95,-3077.4510148086993
-3,96,-410.9098058021312
-3,97,-3783.945661697756
-3,98,-4433.626794733906
-3,99,-3534.859444647438
-3,100,-4161.415612718366
-3,101,-148.76711358945843
-3,102,1273.5873613538238
-3,103,-1029.037692192438
-3,104,-1656.2783024438652
-3,105,-1324.3586100079913
-3,106,-2266.1332859035097
-3,107,-355.5357834779879
-3,108,-3563.4757800432385
-3,109,-5699.1087196740355
-3,110,-5269.481633022672
-3,111,-2211.81771216471
-3,112,-691.9041759964229
-3,113,-1260.9995374276389
-3,114,-990.8088013734955
-3,115,-2572.975573249965
-3,116,-1176.496286439604
-3,117,-1359.969908886836
-3,118,-1031.339857103898
-3,119,-2159.6500443216128
-3,120,-4561.222848345105
0,0,-5157.134454557136
0,1,-2444.667050142878
0,2,-494.2470298761283
0,3,-1188.4668875000348
0,4,-1114.2873340081223
0,5,-2612.212480627565
0,6,-1259.7664519304192
0,7,-1526.2104903509078
0,8,-653.3600363739328
0,9,-2553.737493973605
0,10,-4161.017380050704
0,11,-4752.688021683246
0,12,-2370.3789357711908
0,13,-580.5996341276965
0,14,-1784.6376365992305
0,15,-799.3916579012116
0,16,-2279.8368390704836
0,17,-969.9657248110458
0,18,-748.7619633923803
0,19,58.64317814763096
0,20,-2579.449777258988
0,21,-5386.055825190698
0,22,-4250.983937210432
0,23,-3826.1736083524256
0,24,-477.90542432335593
0,25,-2384.4138598693694
0,26,-1288.881111119566
0,27,-1560.9489484765525
0,28,-1261.1560779428808
0,29,25.210844752238195
0,30,-420.95456435431333
0,31,-3671.508116204696
0,32,-3769.2955014834374
0,33,-3738.485382311931
0,34,-4235.634138035838
0,35,38.633723490774656
0,36,-2431.1754300923803
0,37,-639.8239457094818
0,38,-2207.097412713355
0,39,-17.896192991184176
0,40,629.9928710522993
0,41,-1266.4470671473166
0,42,-4477.659981183711
0,43,-2529.23482072535
0,44,-3352.543281608189
0,45,-4221.444047818988
0,46,-1766.0983881325978
0,47,-2285.261386521361
0,48,-1827.9377608742734
0,49,-1003.9024221640663
0,50,1107.383409814771
0,51,-1096.1040053906959
0,52,-2529.452033473041
0,53,-3942.6870467553094
0,54,-1301.763709845247
0,55,-3510.7768983639994
0,56,-4856.590408929338
0,57,-378.3132717203439
0,58,-961.6040360445302
0,59,-2346.598994100494
0,60,668.3021165471343
