u,index,value
-3,0,-4725.514753826829
-3,1,-2755.5447604931983
-3,2,42.812707739739004
-3,3,-1107.687758246669
-3,4,-1147.7700565444918
-3,5,-3441.136419976815
-3,6,-943.1944785141295
-3,7,-1529.3640681691843
-3,8,-507.8283018621975
-3,9,-2330.3343103436728
-3,10,-3797.992850824799
-3,11,-3899.062708901206
-3,12,-2434.3096625082417
-3,13,-642.0432164448085
-3,14,-2114.824237795629
-3,15,-529.43772199474
-3,16,-2368.2307482658116
-3,17,-919.295903307597
-3,18,-714.2930607069145
-3,19,128.54839842705394
-3,20,-2185.6244677819454
-3,21,-4318.433656917076
-3,22,-5056.499499646883
-3,23,-4266.879140064441
-3,24,170.8048118575251
-3,25,-2312.5195111852636
-3,26,-1558.9655964560866
-3,27,-1798.0334619356645
-3,28,-1260.4041455623908
-3,29,239.0403667604951
-3,30,-464.4220214900779
-3,31,-3054.688021043124
-3,32,-2997.9323437431244
-3,33,-3753.311670811815
-3,34,-3538.305784713253
-3,35,-25.69731693711342
-3,36,-3046.8472161353916
-3,37,-47.28724322700707
-3,38,-2407.7536889062035
-3,39,187.37078462720748
-3,40,502.49899322846176
-3,41,-956.1282820006475
-3,42,-3462.5233459099977
-3,43,-2498.7610292096133
-3,44,-2120.418378135575
-3,45,-3918.0390767587865
-3,46,-2123.3545043931813
-3,47,-1852.943723581078
-3,48,-2123.919121385733
-3,49,-1751.647662123565
-3,50,1840.6756882636578
-3,51,-1364.379559382797
-3,52,-1613.0907833437682
-3,53,-3357.332004675195
-3,54,-3005.340513651608
-3,55,-2570.96768863575
-3,56,-4317.815891494172
-3,57,-1163.5121325491757
-3,58,-569.4174361365225
-3,59,-2394.858456232605
-3,60,1713.1418163757921
-3,61,468.5103906416336
-3,62,-2767.528077283547
-3,63,-857.0057665191054
-3,64,-4297.299110432172
-3,65,-3583.467791504392
-3,66,-1393.0529435698245
-3,67,-3161.1278920655673
-3,68,-2405.221903749379
-3,69,-3339.904829106282
-3,70,-379.6378142269848
-3,71,1401.532715593581
-3,72,-2493.773835886157
-3,73,-2249.9436253441067
-3,74,-723.7504544820256
-3,75,-4701.989858612685
-3,76,-3172.136964974036
-3,77,-905.036964003545
-3,78,-3220.890076146729
-3,79,-2205.6834131387836
-3,80,-46.32667219616711
-3,81,1745.878906342492
-3,82,-1376.8715005049153
-3,83,-1304.929952531769
-3,84,-1416.67574603594
-3,85,-1685.352812530324
-3,86,-4290.5125273851745
-3,87,-3434.3620827709187
-3,88,-2006.4250854690506
-3,89,-4521.4069032060115
-3,90,-1620.3123495016775
-3,91,-811.1542474280631
-3,92,341.78867412690425
-3,93,-2491.192443949147
-3,94,-660.6794410666358
-3,95,-3130.3255699178503
-3,96,-393.0087599603117
-3,97,-3575.355098978486
-3,98,-4311.211292116481
-3,99,-3094.617661202567
-3,100,-3997.2613807242055
-3,101,-5.324946590971356
-3,102,1375.271212337091
-3,103,-1394.8510703518193
-3,104,-1316.2065401846794
-3,105,-1127.8095665954943
-3,106,-2094.8615196084656
-3,107,-476.384935855815
-3,108,-3714.518318243966
-3,109,-4109.71048322393
-3,110,-4838.579096141569
-3,111,-2433.480983191318
-3,112,-176.98790373098055
-3,113,-1507.9563593713622
-3,114,-821.1115459314028
-3,115,-2957.2564775194132
-3,116,-1256.0269947912132
-3,117,-1257.8032383166394
-3,118,-719.2800477302078
-3,119,-2332.501127210019
-3,120,-3777.4060800689504
0,0,-4208.7542942719065
0,1,-2552.5646107198245
0,2,-72.05497407557282
0,3,-1060.5081669528556
0,4,-1227.5110358934335
0,5,-3462.2790709910237
0,6,-815.9366920176238
0,7,-1629.2328922046904
0,8,-384.46343297698513
0,9,-2588.8848358708206
0,10,-3329.4818788032526
0,11,-4533.195242491552
0,12,-2093.0922133826907
0,13,-706.8902637277766
0,14,-2083.920290366932
0,15,-508.1685351161502
0,16,-2408.9325389390356
0,17,-820.4908981361355
0,18,-720.6509254814686
0,19,261.6533003304554
0,20,-2593.457822406074
0,21,-4054.0955995465592
0,22,-5022.2742476727035
0,23,-4115.601355338537
0,24,125.66959134071095
0,25,-2317.253712995274
0,26,-1541.4390135445644
0,27,-1797.730889593103
0,28,-1182.4628977754423
0,29,293.8232818869914
0,30,-637.4396121225661
0,31,-3038.9171387538354
0,32,-2769.6016561126926
0,33,-2480.4263924444176
0,34,-3226.3637197711987
0,35,-238.28919101502333
0,36,-2977.457605344995
0,37,-50.456564800719
0,38,-2438.170370808003
0,39,380.50004055005434
0,40,363.8838583773839
0,41,-888.5365292115131
0,42,-3499.430870844583
0,43,-3168.771657140127
0,44,-2743.6254071867925
0,45,-4083.3924922361753
0,46,-2062.8276755505854
0,47,-1755.3412307338083
0,48,-2162.704127169398
0,49,-1582.9076425060443
0,50,1880.3108107287565
0,51,-1518.7398487777973
0,52,-1595.3811705084952
0,53,-3845.517207762154
0,54,-2619.617070587189
0,55,-1682.2364890415813
0,56,-4071.572414903284
0,57,-1120.331557852806
0,58,-771.2333702773993
0,59,-2235.8561455170075
0,60,1841.362556159322
0,61,221.67710777707725
0,62,-2748.7997748676025
0,63,-861.6287496904202
0,64,-4231.484046363817
0,65,-2409.9598367279386
0,66,-890.3901705488
0,67,-3513.1134592106887
0,68,-2308.770965006979
0,69,-3201.5968223126297
0,70,-173.4448673325443
0,71,1309.769852125806
0,72,-2674.81990448811
0,73,-1998.686894877809
0,74,-734.7492268597341
0,75,-5288.031662065469
0,76,-3181.857389384449
0,77,-1071.9952947419088
0,78,-3380.041124827198
0,79,-1942.6237824773516
0,80,-54.39490502945229
0,81,1689.7304516528613
0,82,-1475.8220073580183
0,83,-1231.100888895583
0,84,-1484.5363786531
0,85,-1777.4080595481144
0,86,-4299.809361330996
0,87,-2678.6093656600738
0,88,-2078.9327030855366
0,89,-4166.202844212124
0,90,-1816.74131078468
0,91,-467.7727477417281
