u,index,value
-3,0,-3167.2285555130643
-3,1,-3707.914215152539
-3,2,422.03425478915307
-3,3,-989.8921137613683
-3,4,-1259.9373417871095
-3,5,-2606.961129256727
-3,6,-1050.3063700164912
-3,7,-1600.7598556838402
-3,8,-251.90710568918732
-3,9,-2815.04732461746
-3,10,-3298.0510192462757
-3,11,-3457.6769309159577
-3,12,-3194.8884921842737
-3,13,250.56307385236792
-3,14,-1823.687851796344
-3,15,-687.7677943891533
-3,16,-2587.9557459095427
-3,17,-742.6481223225621
-3,18,-847.7501319095301
-3,19,431.2403163279523
-3,20,-2706.2718558221236
-3,21,-3839.841684765476
-3,22,-3570.1975575146685
-3,23,-4273.480621975614
-3,24,214.49949510218175
-3,25,-2144.5402751488627
-3,26,-1206.070931204649
-3,27,-1766.3506340521205
-3,28,-1087.6386201080352
-3,29,92.54986496670459
-3,30,-232.44719176971412
-3,31,-3292.933368548593
-3,32,-2952.960672495105
-3,33,-3644.608634961901
-3,34,-4320.588282339794
-3,35,112.49830571568897
-3,36,-2343.1405174423066
-3,37,-383.935811457845
-3,38,-2251.3238031468627
-3,39,37.122912790216674
-3,40,645.1805646174873
-3,41,-916.7685888612558
-3,42,-4000.5519005411584
-3,43,-2729.7336386184693
-3,44,-2005.5000974789914
-3,45,-4104.134198834341
-3,46,-2406.0770260516942
-3,47,-1543.7171228173838
-3,48,-1898.584763602403
-3,49,-1371.699183318003
-3,50,1715.668615461607
-3,51,-1051.5305314510365
-3,52,-2268.105261243951
-3,53,-3467.7547429646997
-3,54,-1665.4265106160908
-3,55,-1660.9776765682857
-3,56,-4759.235334571296
-3,57,-1324.3110960117258
-3,58,271.02086667206123
-3,59,-2534.16456448147
-3,60,1219.762550935002
-3,61,868.7773407678391
-3,62,-2993.4255580612503
-3,63,-1155.7115253580598
-3,64,-3527.778504386488
-3,65,-1406.6407230452744
-3,66,-1664.9201664597927
-3,67,-4157.983270595575
-3,68,-1786.626244761288
-3,69,-2864.1167825566636
-3,70,-947.3165702691977
-3,71,2315.4577371328082
-3,72,-2864.320571960665
-3,73,-1813.2843672707452
-3,74,-797.5945573339204
-3,75,-5492.278793628383
-3,76,-2322.0202552155956
-3,77,-1141.890165774493
-3,78,-3141.2618355204745
-3,79,-2019.5216470793819
-3,80,-655.7776903993496
-3,81,2230.3006641475386
-3,82,-1481.864023195299
-3,83,-1802.4114065273216
-3,84,-1199.2359879229098
-3,85,-1794.5836563264538
-3,86,-4104.903961957655
-3,87,-2109.123067462948
-3,88,-1747.7096717296536
-3,89,-3921.855641745521
-3,90,-1949.692340752205
-3,91,-283.84273319328145
-3,92,264.7164111103185
-3,93,-2445.8301795491093
-3,94,-441.82372735377203
-3,95,-2982.3044862072743
-3,96,-304.3187980520221
-3,97,-4166.5198445714705
-3,98,-2540.3513083248004
-3,99,-3117.499725085199
-3,100,-4203.4851739981605
-3,101,108.8055672660452
-3,102,1445.9904003755055
-3,103,-1309.6213501607479
-3,104,-1371.4335293358881
-3,105,-1520.386662844654
-3,106,-1826.2560168806424
-3,107,-86.91976873422723
-3,108,-4883.477273842101
-3,109,-2781.7162270488293
-3,110,-3826.595076986711
-3,111,-3045.59397229629
-3,112,288.3425883027132
-3,113,-1299.943710109006
-3,114,-996.5475402429965
-3,115,-2620.387453800787
-3,116,-1104.7956020016645
-3,117,-1495.6216832650641
-3,118,-496.89424116231834
-3,119,-2633.835962196637
-3,120,-3502.8850439432886
0,0,-3916.5641151956665
0,1,-3278.4933858291124
0,2,457.7625234432382
0,3,-1033.618115065076
0,4,-1363.36794965635
0,5,-2500.013395100945
0,6,-1047.6548664434943
0,7,-1599.6357220617244
0,8,-175.03936931280134
0,9,-3098.492882969817
0,10,-2931.3072228819615
0,11,-3382.843295481534
0,12,-2812.3906933101043
0,13,-64.79669601214535
0,14,-1720.307089151259
0,15,-697.2590429953674
0,16,-2632.152631477165
0,17,-645.8478566352026
0,18,-797.7251023060227
0,19,377.26448061262795
0,20,-2760.0257642496504
0,21,-3888.2851851684436
0,22,-3782.301802647635
0,23,-4295.616088177326
0,24,436.4150820165981
0,25,-2195.123656514964
0,26,-1182.1392920538724
0,27,-1741.560911634735
0,28,-1008.2984918832914
0,29,55.7982148795547
0,30,-250.37776363263916
0,31,-3398.3541879009413
0,32,-3212.9865896713554
0,33,-3078.690103564963
0,34,-4012.2937799926062
0,35,39.7689253886032
0,36,-2386.3844441497854
0,37,-316.79711503505973
0,38,-2346.3219425491966
0,39,228.6807704856721
0,40,612.9816919737133
0,41,-928.1583648520566
0,42,-4298.762376615193
0,43,-2373.651910722388
0,44,-2601.9716775982397
0,45,-4414.754113543913
0,46,-2096.141703768544
0,47,-1414.8437461252922
0,48,-1996.6577558063411
0,49,-1171.2303665377156
0,50,1729.6096194836286
0,51,-1253.6790437263915
0,52,-2285.568921655436
0,53,-3322.5570752459435
