k,l,t,current_theta1,current_thetadot1,current_theta2,current_thetadot2,force1,force2,next_theta1,next_thetadot1,next_theta2,next_thetadot2,reward
0,1,0,0.5036681094148636,-2.5224444095574112,-2.4847159932969842,-1.9140992980221583,-1.5,-1.0,0.35862380216533196,-2.9008861449906336,-2.5980540790643443,-2.2667617153471973,-6.92882022788718
1,1,1,0.35862380216533196,-2.9008861449906336,-2.5980540790643443,-2.2667617153471973,0.0,0.0,0.20793452023611803,-3.0137856385842787,-2.6990744956410673,-2.0204083315344588,-7.556163484240518
2,1,2,0.20793452023611803,-3.0137856385842787,-2.6990744956410673,-2.0204083315344588,0.0,0.0,0.05385082979149952,-3.08167380889237,-2.789673628631652,-1.8119826598116966,-7.986487582799442
3,1,3,0.05385082979149952,-3.08167380889237,-2.789673628631652,-1.8119826598116966,-1.5,1.0,-0.12346353081752973,-3.5462872121805846,-2.834125850549912,-0.8890444383651962,-8.424178597345696
4,1,4,-0.12346353081752973,-3.5462872121805846,-2.834125850549912,-0.8890444383651962,1.5,-1.0,-0.2778322802239439,-3.0873749881282833,-2.907482608777713,-1.4671351645560202,-8.715840230430375
5,1,5,-0.2778322802239439,-3.0873749881282833,-2.907482608777713,-1.4671351645560202,0.0,1.0,-0.4337406820584526,-3.1181680366901743,-2.9415491002532193,-0.6813298295101247,-9.114864391699138
6,1,6,-0.4337406820584526,-3.1181680366901743,-2.9415491002532193,-0.6813298295101247,0.0,1.0,-0.5896052484926635,-3.117291328684218,-2.937713461452489,0.0767127760146058,-9.350201200553883
7,1,7,-0.5896052484926635,-3.117291328684218,-2.937713461452489,0.0767127760146058,-1.5,0.0,-0.76197254012276,-3.44734583260193,-2.9270195651592443,0.21387792586489604,-9.463964234543944
8,1,8,-0.76197254012276,-3.44734583260193,-2.9270195651592443,0.21387792586489604,0.0,1.0,-0.9330001668811946,-3.420552535168693,-2.877959210121238,0.9812071007601325,-9.74454253956265
9,1,9,-0.9330001668811946,-3.420552535168693,-2.877959210121238,0.9812071007601325,1.5,0.0,-1.0802232044969524,-2.944460752315156,-2.827241735015088,1.0143495021230033,-9.786285877543552
10,1,10,-1.0802232044969524,-2.944460752315156,-2.827241735015088,1.0143495021230033,0.0,0.0,-1.2235295284862973,-2.866126479786898,-2.772219874181086,1.1004372166800402,-9.645115701463865
11,1,11,-1.2235295284862973,-2.866126479786898,-2.772219874181086,1.1004372166800402,1.5,1.0,-1.3463710819572954,-2.456831069419961,-2.6824506970376625,1.795383542868465,-9.653509691182006
12,1,12,-1.3463710819572954,-2.456831069419961,-2.6824506970376625,1.795383542868465,1.5,-1.0,-1.4434948962745713,-1.94247628634552,-2.627549823284922,1.098017475054811,-9.471227880852206
13,1,13,-1.4434948962745713,-1.94247628634552,-2.627549823284922,1.098017475054811,-1.5,0.0,-1.5563298436116624,-2.256698946741821,-2.5653860493477736,1.2432754787429678,-9.236638414342382
