k,l,t,current_theta1,current_thetadot1,current_theta2,current_thetadot2,force1,force2,next_theta1,next_thetadot1,next_theta2,next_thetadot2,reward
0,1,0,2.959668057630701,-0.38290534443735424,-1.4384008804347532,-4.697325170134218,0.0,-1.0,2.934355279630401,-0.5062555600059925,-1.6962966110256312,-5.157914611817559,-11.939206117033716
1,1,1,2.934355279630401,-0.5062555600059925,-1.6962966110256312,-5.157914611817559,1.5,-1.0,2.912190163875416,-0.4433023150996981,-1.9863560554231396,-5.801188887950168,-12.830881991413753
2,1,2,2.912190163875416,-0.4433023150996981,-1.9863560554231396,-5.801188887950168,-1.5,0.0,2.849405815859328,-1.2556869603217635,-2.2455382717715655,-5.183644326968519,-14.118977402301361
3,1,3,2.849405815859328,-1.2556869603217635,-2.2455382717715655,-5.183644326968519,1.5,0.0,2.781253146153608,-1.3630533941144083,-2.4961314831495494,-5.011864227559679,-14.583901545985544
4,1,4,2.781253146153608,-1.3630533941144083,-2.4961314831495494,-5.011864227559679,0.0,0.0,2.69590302571227,-1.7070024088267557,-2.735524505171019,-4.787860440429398,-15.314876323694671
5,1,5,2.69590302571227,-1.7070024088267557,-2.735524505171019,-4.787860440429398,0.0,1.0,2.596545947429941,-1.9871415656465812,-2.9329105472523107,-3.947720841625832,-16.042860683474178
6,1,6,2.596545947429941,-1.9871415656465812,-2.9329105472523107,-3.947720841625832,-1.5,-1.0,2.476167237170524,-2.4075742051883426,3.127404748185789,-4.457400234829726,-16.320676707565063
7,1,7,2.476167237170524,-2.4075742051883426,3.127404748185789,-4.457400234829726,-1.5,0.0,2.338864141342772,-2.7460619165550355,2.9098145961266466,-4.351803041182847,-17.195306165759142
8,1,8,2.338864141342772,-2.7460619165550355,2.9098145961266466,-4.351803041182847,-1.5,0.0,2.1931549703300957,-2.914183420253532,2.6928549960220334,-4.339192002092264,-15.26125874343085
9,1,9,2.1931549703300957,-2.914183420253532,2.6928549960220334,-4.339192002092264,0.0,-1.0,2.069028090284009,-2.4825376009217295,2.4326063155931696,-5.204973608577276,-13.42744936537953
10,1,10,2.069028090284009,-2.4825376009217295,2.4326063155931696,-5.204973608577276,1.5,-1.0,1.9956030653213626,-1.4685004992529271,2.1184470502341903,-6.283185307179586,-11.861187885346878
11,1,11,1.9956030653213626,-1.4685004992529271,2.1184470502341903,-6.283185307179586,0.0,1.0,1.9518784160336795,-0.8744929857536624,1.8213781945396148,-5.941377113891508,-10.551995064999137
