k,current_theta,current_thetadot,force,reward
0,-1.5707963267948966,0.0,3,-21.337005501361695
1,-1.5715469530004629,-0.1501252411132544,3,-21.351052886227126
2,-1.5730422031653726,-0.29905003298194066,3,-21.381251956919495
3,-1.5752761172233447,-0.44678281159442584,3,-21.427435715544906
4,-1.5782427671226895,-0.5933299798689642,3,-21.489455206376547
5,-1.5819362420183196,-0.7386949791260029,3,-21.567178396273814
6,-1.5863506289875022,-0.882877393836532,3,-21.66048883969998
7,-1.5914799894342593,-1.0258720893514215,0,-12.769284138219374
8,-1.5995338177072063,-1.610765654589418,0,-13.051998769345438
9,-1.6104881418472479,-2.190864828008302,0,-13.448349144613392
10,-1.6243186603226845,-2.7661036950873026,0,-13.957188516559965
11,-1.6410004661205386,-3.3363611595708242,0,-14.577543227748402
12,-1.6605077036008817,-3.9014474960686085,0,-15.308558425047371
13,-1.6828131614498731,-4.461091569798263,0,-16.149434481157098
14,-1.7078878055490954,-5.014928819844453,0,-17.09935488852717
15,-1.7357002562438233,-5.562490138945587,0,-18.15740655221106
16,-1.7662162153553838,-6.1031918223121115,0,-19.32249363891522
17,-1.7993978493486855,-6.636326798660346,0,-20.593246439065126
18,-1.8352031363309418,-7.161057396451267,0,-21.967927061521568
19,-1.8735851860047206,-7.67640993475577,0,-23.444334194723425
20,-1.9144915432961065,-8.181271458277191,0,-25.019709614163638
21,-1.9578634880785273,-8.674388956484174,0,-26.690649566592548
22,-2.0036353451478495,-9.154371413864466,0,-28.4530245799266
23,-2.051733820288795,-9.619695028189156,0,-30.301911590120987
24,-2.1020773798022554,-10.068711902692035,0,-32.2315424913228
25,-2.154575692117331,-10.49966246301513,0,-34.23527324903927
26,-2.2091291509590842,-10.910691768350688,0,-36.30557751448157
27,-2.2656284998466165,-11.299869777506466,-3,-47.43406819544656
28,-2.326170063684404,-12.108312767557504,-3,-50.71645963360713
29,-2.390602447201215,-12.886476703362224,-3,-54.18102848545192
30,-2.4587591322607136,-13.631337011899694,-3,-57.808817225575936
31,-2.5304579755283108,-14.339768653519405,-3,-61.57898433321996
32,-2.6055010050553706,-15.008605905411967,-3,-65.46900255911942
33,-2.683674567036313,-15.634712396188466,-3,-69.45496907994064
34,-2.764749865615425,-16.215059715822413,-3,-73.51202525587124
35,-2.848483926678672,-16.746812212649445,-3,-77.61487533130818
36,-2.9346210012767893,-17.227414919623435,-3,-81.73838458696034
37,-3.0228944062621617,-17.65468099707449,-3,-85.85822906790165
38,-3.113028779817293,-18.026874711026213,-3,-89.95156210455737
39,3.0784425981231562,-18.342785847827383,0,-81.0298234156219
40,2.9876491262775264,-18.158694369125932,0,-77.60405462786693
41,2.898036379326109,-17.922549390283447,-3,-83.11485194420288
42,2.807639912564275,-18.07929335236683,-3,-81.10029420521317
43,2.7167229299731352,-18.18339651822787,-3,-78.96650828511923
44,2.62553999876519,-18.236586241589016,-3,-76.72460920027095
45,2.5343342377547358,-18.241152202090806,-3,-74.38821350926362
46,2.4433347169092023,-18.199904169106656,-3,-71.97307387073545
