k,current_theta,current_thetadot,force,reward
0,-3.141592653589793,0.0,-3,-58.348022005446786
1,3.1393771672299144,-0.443097271975751,-3,-58.298078509865846
2,3.134970479154978,-0.8813376149873399,-3,-58.21787512502512
3,3.128403179067214,-1.313460017552757,-3,-58.10704997576022
4,3.1197120198638255,-1.7382318406777084,-3,-57.96516042760873
5,3.108939757146718,-2.1544525434215185,-3,-57.79169864402302
6,3.096134969478138,-2.5609575337160124,-3,-57.58610909507663
7,3.081351858532257,-2.956622189176205,-3,-57.34780785735388
8,3.0646500281613007,-3.3403660741912318,-3,-57.076203526506085
9,3.0460942413638374,-3.711157359492649,-3,-56.77071953104131
10,3.025754154216816,-4.0680174294043105,-3,-56.43081758939532
11,3.003704026012441,-4.410025640874987,-3,-56.05602199473422
12,2.9800224051223996,-4.736324178008314,-3,-55.64594434707607
13,2.954791790487531,-5.046122926973649,-3,-55.200308285075465
14,2.9280982690888906,-5.338704279728145,-3,-54.71897370584554
15,2.900031130280513,-5.6134277616755766,-3,-54.20195990653535
16,2.8706824584359523,-5.869734368912083,-3,-53.64946704201819
17,2.8401467059578804,-6.107150495614352,-3,-53.06189527442526
18,2.8085202492989008,-6.325291331795975,-3,-52.43986099681913
19,2.775900931217513,-6.5238636162775325,-3,-51.784209548050256
20,2.742387593021277,-6.702667639247183,-3,-51.0960239000063
21,2.7080796010064803,-6.861598402959345,-3,-50.376628891286515
22,2.6730763716693473,-7.000645867426606,-3,-49.62759069999654
23,2.637476900520901,-7.119894229689254,-3,-48.85071138810292
24,2.601379299473381,-7.219520209504026,-3,-48.0480185041868
25,2.5648803477731157,-7.299790340053022,-3,-47.22174989283683
26,2.5280750613309433,-7.361057288434504,-3,-46.374334018978736
27,2.4910562850502114,-7.403755256146361,-3,-45.508366265732285
28,2.453914312382967,-7.428394533448831,-3,-44.626581797047095
29,2.4167365358707413,-7.435555302445189,-3,-43.73182568463463
30,2.3796071318649434,-7.425880801159612,-3,-42.8270210774156
31,2.342606781993778,-7.400069974233102,-3,-41.915136237570856
32,2.305812433270083,-7.358869744739073,-3,-40.99915127911811
33,2.269297098040533,-7.303067045910035,-3,-40.082025423581634
34,2.23312969428373,-7.233480751360632,-3,-39.1666655354892
35,2.1973749260937923,-7.1509536379875085,-3,-38.25589662239317
36,2.16209320355584,-7.056344507590493,-3,-37.35243488529203
37,2.127340600645896,-6.950520581988734,-3,-36.45886379184711
38,2.093168849282492,-6.834350272680782,-3,-35.57761352300214
39,2.0596253672292923,-6.708696410639882,-3,-34.71094401968523
40,2.026753317202475,-6.574410005363438,-3,-33.860931735818475
41,1.9945916942750315,-6.432324585488739,-3,-33.02946009166299
42,1.9631754384912432,-6.283251156757654,-3,-32.21821352136607
43,1.9325355695043216,-6.127973797384301,-3,-31.42867492313982
44,1.902699340022456,-5.9672458963730834,-3,-30.66212625138759
45,1.873690404885633,-5.801787027364614,-3,-29.91965193789207
46,1.8455290026888165,-5.632280439363317,-3,-29.20214479359135
47,1.8182321470071448,-5.459371136334356,-3,-28.51031402247512
48,1.7918138244562776,-5.283664510173431,-3,-27.844694973169783
49,1.7662851970267661,-5.10572548590227,-3,-27.205660259918606
50,1.7416548063566755,-4.926078134018112,-3,-26.59343190077168
51,1.7179287778437913,-4.74520570257682,-3,-26.00809414469607
52,1.6951110227406065,-4.563551020636956,-3,-25.449606688879186
53,1.673203436615905,-4.381517224940333,-3,-24.917818020761256
54,1.6522060928011437,-4.19946876295227,-3,-24.412478654547293
55,1.632117429663972,-4.017732627434335,-3,-23.933254067619693
56,1.6129344307620372,-3.8365997803869516,-3,-23.479737177174805
57,1.5946527971255007,-3.656326727307296,-3,-23.051460230583082
58,1.5772671110949676,-3.477137206106602,-3,-22.64790601371841
59,1.5607709913020287,-3.2992239585878047,-3,-22.268518309341566
60,1.5451572385220897,-3.122750555987803,-3,-21.912711562278265
61,1.5304179722538545,-2.947853253647043,-3,-21.579879729491743
62,1.5165447579873021,-2.7746428533104655,-3,-21.269404311236507
63,1.5035287252131362,-2.603206554833214,-3,-20.98066157441785
64,1.4913606763025233,-2.4336097821225593,-3,-20.713028991271862
65,1.4800311864476827,-2.265897970968124,-3,-20.46589092577242
66,1.4695306949027778,-2.100098308980999,-3,-20.238643607045688
67,1.4598495878019127,-1.936221420173038,-3,-20.03069943382076
68,1.450978272858101,-1.774262988762309,-3,-19.841490656860564
69,1.4429072462651173,-1.6142053185967387,-3,-19.67047248768052
70,1.4356271521343327,-1.4560188261569316,-3,-19.517125681939014
71,1.4291288348021056,-1.2996634664454185,-3,-19.38095864491541
72,1.4234033843410585,-1.1450900922094012,-3,-19.261509104695513
73,1.4184421756015857,-0.9922417478945491,-3,-19.15834539625328
74,1.4142369010990559,-0.8410549005059564,-3,-19.07106739671781
75,1.4107795980481759,-0.6914606101759919,-3,-18.99930714888736
76,1.4080626698295569,-0.5433856437238083,-3,-18.94272920661821
77,1.4060789021552922,-0.39675353485294595,-3,-18.90103073217299
78,1.4048214741808631,-0.25148559488581707,-3,-18.873941372041976
79,1.4042839647904155,-0.10750187808951389,-3,-18.861222934216723
80,1.4044603542618275,0.03527789428238945,-3,-18.862668886448787
81,1.4053450214973915,0.1769334471128216,-3,-18.87810369170824
82,1.4069327369857039,0.31754309766248695,-3,-18.90738199389773
83,1.4092186516407834,0.45718293101590085,-3,-18.950387663902568
84,1.412198281645814,0.5959260010061244,-3,-19.007032713284467
85,1.4158674894114616,0.7338415531294911,-3,-19.077256080371527
86,1.4202224607426883,0.8709942662453442,-3,-19.16102229117331
87,1.4252596782936047,1.0074435101832884,-3,-19.258319995468987
88,1.4309758913773543,1.1432426167499155,-3,-19.36916037659139
89,1.4373680821875405,1.2784381620372474,-3,-19.49357543187276
90,1.4444334284794687,1.4130692583856241,-3,-19.63161611944421
91,1.4521692627536895,1.5471668548441677,-3,-19.78335036610581
92,1.4605730279812004,1.6807530455021866,-3,-19.94886093032735
93,1.4696422299093745,1.813840385634836,-3,-20.128243114120988
94,1.4793743859904533,1.9464312162157587,-3,-20.32160231756907
95,1.4897669709804413,2.0785169979975877,-3,-20.529051430217685
96,1.5008173592656755,2.210077657046844,0,-11.750708054383745
97,1.5147382503472582,2.784178216316519,0,-12.247324669346508
98,1.5315092943164703,3.354208793842418,0,-12.852675256157646
99,1.5511100741518165,3.920155967069211,0,-13.566474591291103
100,1.573519679556226,4.481921080881918,0,-14.388582567279016
101,1.5987162171310856,5.039307514971901,0,-15.318929737634871
102,1.6266762597835172,5.592008530486297,0,-16.357434211219616
103,1.6573742389828854,6.1395958398736274,0,-17.503910547919848
104,1.6907817844474708,6.681509092917105,0,-18.757971588970264
105,1.7268670170610803,7.217046522721887,0,-20.118924524180375
106,1.765593802290104,7.745357045804787,-3,-30.585662950125922
107,1.804705486718956,7.822336885770402,-3,-31.40370490441594
108,1.8441743175093361,7.893766158076008,-3,-32.23604898264374
109,1.8839680646804964,7.958749434232043,-3,-33.08084759936877
110,1.9240500107687681,8.01638921765436,-3,-33.93609182858899
111,1.964378968338619,8.065791513970188,-3,-34.79962293093884
112,2.0049093279614745,8.10607192457105,0,-26.66914727136656
113,2.04780662531283,8.57945947027113,0,-28.328272353578107
114,2.092995959948547,9.037866927143375,0,-30.071464301079907
115,2.1403947979011053,9.479767590511662,0,-31.893048811422098
116,2.1899124879645817,9.903538012695265,0,-33.78659004160613
117,2.2414498513261454,10.307472672312706,0,-35.74488646909732
118,2.2948988619471327,10.68980212419742,0,-37.75999087828079
119,2.350142434656463,11.048714541866094,0,-39.82325661862937
120,2.4070543368110067,11.382380430908677,0,-41.925411329196656
121,2.465499237534656,11.6889801447298,3,-53.0566581338086
122,2.5275483922984225,12.409830952753326,3,-56.34289480464315
123,2.593025945420346,13.095510624384717,3,-59.768157619452694
124,2.6617422016476286,13.74325124545657,3,-63.31205321973418
125,2.733493839209172,14.350327512308732,3,-66.95313281602499
126,2.808064440297093,14.914120217584173,3,-70.66922769076044
127,2.8852253629826596,15.432184537113375,3,-74.43785893474421
128,2.964736966581476,15.902320719763301,3,-78.23670683249497
129,3.046350188497511,16.32264438320693,3,-82.04411932085779
130,3.1298084552772036,16.6916533559386,3,-85.839634009105
131,-3.068335412289205,17.008287922635525,3,-85.00159681746678
132,-2.9819755050085766,17.27198145612563,3,-83.29302390443056
133,-2.8945620111796457,17.48269876578619,3,-81.45692179634398
134,-2.806357210942291,17.640960047470966,3,-79.49855111668566
135,-2.7176179656978094,17.747849048896295,3,-77.42585162365842
136,-2.6285929411429763,17.805004910966616,3,-75.24932423908794
137,-2.539519950946369,17.81459803932147,3,-72.98179823653288
138,-2.45062349482205,17.779291224863805,3,-70.6380972127211
139,-2.362112554851725,17.702187994065007,3,-68.23462458666265
140,-2.2741787010079193,17.58677076876118,3,-65.78889442788561
141,-2.1869945419597308,17.436831809637695,3,-63.31903598856756
142,-2.100712541512424,17.256400089461373,3,-60.84330031509418
143,-2.0154642055295504,17.04966719657471,3,-58.37959497024988
144,-1.9313596298703024,16.82091513184962,0,-46.94506868675251
145,-1.850702873860667,16.131351201927057,3,-52.14755479657201
146,-1.7713261740163015,15.875339968873103,0,-40.890623986506135
147,-1.6954907823399237,15.167078335275555,3,-46.37747148783674
148,-1.6209893066493433,14.900295138116064,0,-35.33991118165412
149,-1.5500458625852325,14.18868881282214,3,-41.1450999032984
150,-1.480419613571932,13.925249802660062,0,-30.349469367890755
151,-1.4143040479915427,13.223113116077844,3,-36.48635174888531
152,-1.3494314703969459,12.974515518919349,0,-25.938631761556223
153,-1.287971297906329,12.2920344981234,3,-32.403761531458144
154,-1.227635297310115,12.06720011924277,0,-22.097173987793745
155,-1.1705748711545862,11.412085231105745,0,-19.87479657709507
156,-1.1167023695467602,10.774500321565231,0,-17.844106628697674
157,-1.0659261128997006,10.155251329411913,3,-24.99390534715957
158,-1.0159363887188455,9.997944836171017,0,-15.156523824327317
159,-0.9688674619088024,9.413785362008632,0,-13.555456277924822
160,-0.9246196641678588,8.8495595481887,0,-12.1060780365232
161,-0.8830937566219792,8.305181509175908,3,-19.79687690495934
162,-0.8419763049686172,8.223490330672409,0,-10.307199812509289
163,-0.8034001994103266,7.715221111658124,0,-9.179723082240285
164,-0.7672672908848582,7.22658170509367,0,-8.165843792348403
165,-0.7334822611155476,6.7570059538621265,0,-7.255694082908705
166,-0.7019530447318417,6.305843276741181,3,-15.440056328123712
167,-0.6703756737687242,6.315474192623497,0,-6.235539147673696
168,-0.6408935579832981,5.89642315708523,0,-5.53050336806355
169,-0.6134206318306195,5.494585230535716,0,-4.900471043339504
170,-0.5878748529087489,5.10915578437412,0,-4.338331496312769
171,-0.5641783056595168,4.739309449846418,3,-12.837591209024572
172,-0.5400417753907021,4.827306053762936,0,-3.7885139695053374
173,-0.5176233131393725,4.483692450265925,0,-3.3500192703840694
174,-0.49685177165036987,4.154308297800526,0,-2.9601361582779866
175,-0.4776601311147847,3.8383281071170283,0,-2.614072270071426
176,-0.4599854609325606,3.5349340364448243,3,-11.30750898554831
177,-0.4415533784235216,3.6864165018077997,0,-2.333813592466214
178,-0.42453621571058986,3.4034325425863523,0,-2.0594902994429227
179,-0.4088768451692011,3.1318741082777577,0,-1.8167649155876542
180,-0.3945219386016974,2.8709813135007476,3,-10.602491170437254
181,-0.3792063915786967,3.0631094046001377,0,-1.6572513595256604
182,-0.3651113010038424,2.819018114970846,0,-1.4612176238569703
183,-0.35218796373623884,2.5846674535207166,0,-1.2882323935323179
184,-0.3403911185501576,2.3593690372162572,3,-10.135992793316614
185,-0.3274633590732094,2.5855518953896324,0,-1.2046691180528404
186,-0.3155929867137124,2.3740744718993985,0,-1.061617626126848
187,-0.30473814310753083,2.1709687212363056,0,-0.9356371981817697
188,-0.2948600486840713,1.975618884691909,0,-0.8250192393049947
189,-0.28592290158825623,1.7874294191630067,3,-9.728249921112178
190,-0.2756782937585298,2.0489215659452826,0,-0.7998005665876382
191,-0.26632296856696513,1.8710650383129364,0,-0.7047280556913025
192,-0.2578230799052786,1.6999777323373149,0,-0.6213561317034904
193,-0.25014743768134096,1.5351284447875269,0,-0.5485306370922789
194,-0.24326741549867026,1.3760044365341404,3,-9.485233998153177
195,-0.23494137685615596,1.6652077285028595,0,-0.5532789307018968
196,-0.22737237600220533,1.5138001707901227,0,-0.48765008255286163
197,-0.22053250694649923,1.36797381114122,0,-0.4303081678973621
198,-0.21439615898953612,1.227269591392622,0,-0.38044762994303355
199,-0.2089399349431097,1.0912448092852862,0,-0.33736100544936265
200,-0.20414257451403572,0.9594720858147955,3,-9.300429621991873
201,-0.19776939652785183,1.27463559723678,0,-0.35803326158926974
202,-0.19202996320878069,1.1478866638142273,0,-0.31614191314608403
203,-0.18690250616569115,1.0254914086179074,0,-0.2798259969699951
204,-0.18236719608388005,0.9070620163622224,0,-0.24856512119019183
205,-0.17840607504091985,0.792224208592043,0,-0.2219055577254605
206,-0.17500299379092474,0.6806162499990221,3,-9.199454087155205
207,-0.1699280675932196,1.014985239541028,0,-0.24739724442844485
208,-0.16539532007843435,0.906549502957049,0,-0.218961259650406
209,-0.161387160313823,0.8016319529222691,0,-0.19449045636539514
210,-0.15788766380858996,0.6998993010466075,0,-0.1736284750752246
211,-0.15488251578081272,0.6010296055554484,0,-0.1560666271483823
212,-0.1523589589838694,0.5047113593886643,0,-0.14153961754283734
213,-0.1503057459941896,0.41064259793595465,3,-9.129821820718309
214,-0.14649760949952773,0.7616272989323746,0,-0.16531536219328305
215,-0.1431528956297973,0.6689427739460855,0,-0.14721220111744654
216,-0.140258082292154,0.578962667528662,0,-0.13188142528055363
217,-0.13780107216486212,0.4914020254583736,0,-0.1190932725113869
218,-0.13577114747465613,0.40598493804119584,0,-0.10865139942455548
219,-0.13415892884155198,0.32244372662083076,3,-9.100390086623277
220,-0.13074085172609531,0.6836154230913318,0,-0.13219885621915828
221,-0.1277367910997912,0.6008121252608221,0,-0.11768095998840104
222,-0.12513460074724672,0.5204380705088915,0,-0.105378920044366
223,-0.12292341085666955,0.4422379781154332,0,-0.09510826761195057
224,-0.12109358704407079,0.36596476251975185,0,-0.08671130485661357
225,-0.11963669309343734,0.29137879012669,0,-0.08005485160523595
226,-0.11854545730819188,0.21824715704909123,0,-0.07502830939804278
227,-0.11781374237385284,0.1463429868678076,3,-9.071542016441201
228,-0.11522103227708731,0.5185420193531045,0,-0.09326801397846751
229,-0.11299005429196445,0.44619559702457356,0,-0.08374281292491693
230,-0.11111134199787755,0.37574245881737844,0,-0.07584689113865947
231,-0.1095765414325901,0.30696011305748827,0,-0.06945754326246728
232,-0.10837837824679096,0.23963263715982808,0,-0.06447174443623983
233,-0.10751062815111055,0.17355001913608203,0,-0.06080463674144526
234,-0.10696809056136385,0.1085075179493413,0,-0.05838825013687335
235,-0.10674656535367963,0.04430504153684352,3,-9.057170439744596
236,-0.10462734628738046,0.42384381325983395,0,-0.07269876575956083
237,-0.10283484140611629,0.35850097625283406,0,-0.06572731803252896
238,-0.10136115037132354,0.2947382069585497,0,-0.06005747508710439
239,-0.10019937583031381,0.23235490820194554,0,-0.05559845492047583
240,-0.0993435954777021,0.17115607052234216,0,-0.05227518985985147
241,-0.09878883710964356,0.11095167361170824,0,-0.05002719907510235
242,-0.0985310565856723,0.05155610479425471,0,-0.04880764875360039
243,-0.09856711861914683,-0.007212406694907608,0,-0.04858258624543808
244,-0.09889478032355481,-0.06553234088159715,3,-9.049330336646364
245,-0.09729719108827316,0.3195178470563306,0,-0.05754288242709098
246,-0.0960005142018939,0.25933537727585027,0,-0.052805977425820924
247,-0.09499851566825965,0.2003997067268494,0,-0.04913959414148359
