k,current_theta,current_thetadot,force,reward
0,-1.5707963267948966,0.0,3,-21.337005501361695
1,-1.5715469530004629,-0.1501252411132544,3,-21.351052886227126
2,-1.5730422031653726,-0.29905003298194066,3,-21.381251956919495
3,-1.5752761172233447,-0.44678281159442584,3,-21.427435715544906
4,-1.5782427671226895,-0.5933299798689642,3,-21.489455206376547
5,-1.5819362420183196,-0.7386949791260029,3,-21.567178396273814
6,-1.5863506289875022,-0.882877393836532,3,-21.66048883969998
7,-1.5914799894342593,-1.0258720893514215,0,-12.769284138219374
8,-1.5995338177072063,-1.610765654589418,0,-13.051998769345438
9,-1.6104881418472479,-2.190864828008302,0,-13.448349144613392
10,-1.6243186603226845,-2.7661036950873026,0,-13.957188516559965
11,-1.6410004661205386,-3.3363611595708242,0,-14.577543227748402
12,-1.6605077036008817,-3.9014474960686085,0,-15.308558425047371
13,-1.6828131614498731,-4.461091569798263,0,-16.149434481157098
14,-1.7078878055490954,-5.014928819844453,0,-17.09935488852717
15,-1.7357002562438233,-5.562490138945587,0,-18.15740655221106
16,-1.7662162153553838,-6.1031918223121115,0,-19.32249363891522
17,-1.7993978493486855,-6.636326798660346,0,-20.593246439065126
18,-1.8352031363309418,-7.161057396451267,0,-21.967927061521568
19,-1.8735851860047206,-7.67640993475577,0,-23.444334194723425
20,-1.9144915432961065,-8.181271458277191,0,-25.019709614163638
21,-1.9578634880785273,-8.674388956484174,0,-26.690649566592548
22,-2.0036353451478495,-9.154371413864466,0,-28.4530245799266
23,-2.051733820288795,-9.619695028189156,0,-30.301911590120987
24,-2.1020773798022554,-10.068711902692035,0,-32.2315424913228
25,-2.154575692117331,-10.49966246301513,0,-34.23527324903927
26,-2.2091291509590842,-10.910691768350688,0,-36.30557751448157
27,-2.2656284998466165,-11.299869777506466,0,-38.43406819544656
28,-2.323954577324525,-11.665215495581753,0,-40.61154964317413
29,-2.383978201168515,-12.004724768798015,0,-42.828101995692606
30,-2.4455602077664484,-12.316401319586626,0,-45.073197795564894
31,-2.5085516599152244,-12.59829042975518,0,-47.33584932756324
32,-2.5727942324018938,-12.848514497333893,0,-49.60478329022217
33,-2.6381207800286037,-13.065309525341998,-3,-60.86863754939288
34,-2.706571573698537,-13.690158733986625,-3,-64.36969303393991
35,-2.7779405829694195,-14.273801854176513,-3,-67.95891134977168
36,-2.8520094848167377,-14.813780369463622,-3,-71.61459939089374
37,-2.928548658619969,-15.307834760646246,-3,-75.31496673544905
38,-3.0073185155023587,-15.753971376477995,-3,-79.03858468150536
39,-3.0880711540770056,-16.150527714929332,-3,-82.7648718102825
40,3.1126329870797664,-16.49623320456286,-3,-84.65499155521778
41,3.028681674176756,-16.790262580602093,-3,-83.05585517002727
42,2.9435202784085566,-17.032279153639887,-3,-81.33141146376352
43,2.857407950047788,-17.222465672153763,-3,-79.48523334783299
44,2.77060024473028,-17.361541063501587,-3,-77.52343939046263
45,2.6833464344211047,-17.45076206183506,-3,-75.45465008948047
46,2.5958868867279965,-17.491909538621616,-3,-73.28983357416405
