k,current_theta,current_thetadot,force,reward
0,-3.141592653589793,15.707963267948966,0,-74.02203300817018
1,-3.0636807792051797,15.582374876922724,3,-80.21174026485153
2,-2.9844072015500145,15.854715531033028,3,-78.67063218031593
3,-2.9040162583001266,16.078188649977616,3,-77.01736716878425
4,-2.8227506388262555,16.253123894774212,3,-75.25600947885822
5,-2.740849047153835,16.380318334484087,3,-73.39275037032398
6,-2.658543878990309,16.461033632705178,3,-71.4358406082893
7,-2.576058974922582,16.496980813545406,3,-69.39543680764444
8,-2.4936075085321416,16.490293278088025,3,-67.28336927277489
9,-2.411390061919307,16.443489322566965,3,-65.11284426375337
10,-2.3295929324565705,16.359425892547293,3,-62.898097708132696
11,-2.248386704156543,16.241245660005497,3,-60.654019916004344
12,-2.167925105591395,16.09231971302958,3,-58.39577169190335
13,-2.088344164607265,15.916188196826054,3,-56.13841142092458
14,-2.00976165885697,15.71650115005895,3,-53.896550467038026
15,-1.9322768510360662,15.496961564180783,3,-51.68405091741893
16,-1.8559704891099418,15.26127238522487,3,-49.5137757638377
17,-1.7809050450541482,15.013088811158715,3,-47.39739746267049
18,-1.7071251608201656,14.755976846796516,3,-45.34526684384587
19,-1.6346582673580374,14.493378692425653,3,-43.3663408474157
20,-1.563515341428023,14.228585186002903,3,-41.46816475393806
21,-1.4936917653808257,13.964715209439454,0,-30.6569025379074
22,-1.4273837431532124,13.261604445522652,3,-36.774136998040994
23,-1.3623260433548257,13.011539959677362,0,-26.20967845424215
24,-1.3006903854606016,12.327131578844828,3,-32.65479469036358
25,-1.2401906000784046,12.099957076439393,0,-22.331259747781743
26,-1.1829800082751392,11.442118360653117,0,-20.08941575781276
27,-1.128972667237163,10.80146820759525,3,-27.040067960812063
28,-1.075862926450777,10.621948157277178,0,-17.069983448144555
29,-1.0257879890253085,10.0149874850937,0,-15.291202424801277
30,-0.9786498019857522,9.427637407911263,3,-22.67681188413854
31,-0.932134123724425,9.303135652265471,0,-12.999203419502798
32,-0.888371821741657,8.752460396553591,0,-11.606578767646857
