k,current_theta,current_thetadot,force,reward
0,1.5707963267948966,0.0,-3,-21.337005501361695
1,1.5715469530004629,0.1501252411132544,-3,-21.351052886227126
2,1.5730422031653726,0.29905003298194066,-3,-21.381251956919495
3,1.5752761172233447,0.44678281159442584,-3,-21.427435715544906
4,1.5782427671226895,0.5933299798689642,-3,-21.489455206376547
5,1.5819362420183196,0.7386949791260029,-3,-21.567178396273814
6,1.5863506289875022,0.882877393836532,-3,-21.66048883969998
7,1.5914799894342593,1.0258720893514215,0,-12.769284138219374
8,1.5995338177072063,1.610765654589418,0,-13.051998769345438
9,1.6104881418472479,2.190864828008302,0,-13.448349144613392
10,1.6243186603226845,2.7661036950873026,0,-13.957188516559965
11,1.6410004661205386,3.3363611595708242,0,-14.577543227748402
12,1.6605077036008817,3.9014474960686085,0,-15.308558425047371
13,1.6828131614498731,4.461091569798263,0,-16.149434481157098
14,1.7078878055490954,5.014928819844453,0,-17.09935488852717
15,1.7357002562438233,5.562490138945587,0,-18.15740655221106
16,1.7662162153553838,6.1031918223121115,0,-19.32249363891522
17,1.7993978493486855,6.636326798660346,0,-20.593246439065126
18,1.8352031363309418,7.161057396451267,0,-21.967927061521568
19,1.8735851860047206,7.67640993475577,0,-23.444334194723425
20,1.9144915432961065,8.181271458277191,0,-25.019709614163638
21,1.9578634880785273,8.674388956484174,0,-26.690649566592548
22,2.0036353451478495,9.154371413864466,3,-37.4530245799266
23,2.053949306648674,10.062792300164906,3,-40.21951765903865
24,2.108703079172034,10.95075450467202,3,-43.22504580270754
25,2.167781817496524,11.815747664897964,3,-46.457579329396836
26,2.231056771426618,12.654990786018782,3,-49.90295076606485
27,2.29838404763741,13.465455242158422,3,-53.54469464002779
28,2.369603551049116,14.243900682341197,3,-57.363975610562896
29,2.4445381732638443,14.98692444294569,3,-61.33962482857696
30,2.5229932958183374,15.691024510898668,3,-65.44830087388367
31,2.604756672695483,16.35267537542909,3,-69.66478581317472
32,2.6895987490983932,16.96841528058206,3,-73.96241886918729
33,2.7772734615860544,17.534942497532224,3,-78.31366024132709
34,2.867519548325044,18.049217347797974,3,-82.69076648693645
35,2.9600623778992645,18.50856591484404,3,-87.0665476276859
36,3.0546162817935185,18.910780778850814,3,-91.41516611156564
37,-3.132297956439494,19.254213789314676,3,-95.1289273040387
38,-3.034608676813882,19.53785592512247,3,-93.21703052205481
39,-2.935801678207292,19.761399721317918,3,-91.14594936339415
40,-2.8361752753971623,19.925280562026003,3,-88.92113151141598
41,-2.736021803906343,20.030694298163862,3,-86.55194796390403
42,-2.635623853654682,20.07959005033219,3,-84.05155914870772
43,-2.535250660795157,20.07463857190498,3,-81.43659094457291
44,-2.4351547706503895,20.019178028953448,0,-69.72664268060001
45,-2.3377845552069267,19.474043088692564,0,-65.2500185548457
46,-2.2433284475686697,18.891221527651407,3,-69.85043769903429
47,-2.1497322814365107,18.719233226431797,0,-58.147713667805945
48,-2.059367206445065,18.073014998289157,3,-62.868353567745245
49,-1.9701282232760524,17.84779663380253,0,-51.26141054890157
