k,current_theta,current_thetadot,force,reward
0,-1.5707963267948966,0.0,3,-21.337005501361695
1,-1.5715469530004629,-0.1501252411132544,3,-21.351052886227126
2,-1.5730422031653726,-0.29905003298194066,3,-21.381251956919495
3,-1.5752761172233447,-0.44678281159442584,3,-21.427435715544906
4,-1.5782427671226895,-0.5933299798689642,3,-21.489455206376547
5,-1.5819362420183196,-0.7386949791260029,0,-12.567178396273814
6,-1.5885661153473811,-1.325974665812283,0,-12.793532395586945
7,-1.5981086257580546,-1.9085020821346679,0,-13.133993918362725
8,-1.6105398481700726,-2.4862444824035865,0,-13.58733417534663
9,-1.6258354507228383,-3.0591205105531474,0,-14.152526393944369
10,-1.6439703828625551,-3.6269864279433532,0,-14.828696153494809
11,-1.6649184976654072,-4.189622960570417,0,-15.615062074516066
12,-1.688652111881452,-4.746722843208926,0,-16.510867549832582
13,-1.7151415077468852,-5.297879173086681,0,-17.515304331243854
14,-1.7443543813689533,-5.842574724413596,0,-18.627428980040982
15,-1.7762552434488204,-6.380172415973438,0,-19.846073455151974
16,-1.8108047792748367,-6.909907165203275,0,-21.169751446395708
17,-1.8479591762821808,-7.430879401468783,3,-31.596562453944887
18,-1.885453942651674,-7.4989532738986595,3,-32.398112869715256
19,-1.923253927862297,-7.559997042124601,3,-33.20988388288204
20,-1.961319985305815,-7.61321148870357,0,-25.02997934097281
21,-2.0018244902935987,-8.100900997556716,0,-26.598966146917668
22,-2.0446999754461626,-8.575097030512802,0,-28.25721885621864
23,-2.089871890242983,-9.034382959364098,0,-29.999830133783732
24,-2.137258057017769,-9.477233354957148,0,-31.821155217868075
25,-2.1867681824671097,-9.902025089868198,0,-33.71478550729046
26,-2.2383034419797925,-10.307051902536537,0,-35.67354338405113
27,-2.2917561542567064,-10.690542455382822,0,-37.6895011519017
28,-2.3470095632793577,-11.050681804530283,0,-39.754026285121476
29,-2.4039377436055913,-11.385636065246718,0,-41.857854236682385
30,-2.4624056431556114,-11.693579910003992,0,-43.991188868387894
31,-2.522269275065972,-11.972726382072095,0,-46.14382918170563
32,-2.58337606684448,-12.221358355701618,0,-48.30531951957205
33,-2.6455653710172333,-12.437860834550678,0,-50.46511887559273
34,-2.708669136838237,-12.620753164200734,0,-52.61278350746829
35,-2.772512737604934,-12.768720153339347,0,-54.73815583633747
36,-2.8369159429108066,-12.880641061174583,0,-56.831551750389224
37,-2.9016940200268717,-12.955615423213036,0,-58.883938028718084
38,-2.9666589438149034,-12.992984757606306,-3,-69.88709173572377
39,-3.0338361767728244,-13.435446591584185,0,-64.07193224900885
40,-3.1007953136230837,-13.391827370051862,-3,-75.00876191586141
41,3.113629746454565,-13.752049420387571,-3,-76.38533731611182
42,3.0432866956058655,-14.068610169739895,-3,-75.1005487690692
43,2.971581682642018,-14.34100259276945,-3,-73.71792401964984
44,2.8987363255806793,-14.569071412267768,-3,-72.23914560778069
45,2.8249711749636788,-14.75303012340012,-3,-70.66750047907347
46,2.750503827671416,-14.893469458452516,-3,-69.00789978116134
47,2.675547043782639,-14.99135677775534,-3,-67.2668377212652
