k,current_theta,current_thetadot,force,reward
0,-3.141592653589793,15.707963267948966,3,-83.02203300817018
1,-3.0614652928453006,16.025472148898473,3,-81.54442445599386
2,-2.9800004929736037,16.29295997433933,3,-79.94806916315696
3,-2.897448751882687,16.51034821818337,3,-78.23520617749978
4,-2.814058528194366,16.67804473766419,3,-76.41034462767004
5,-2.7300737658749017,16.7969524638929,3,-74.48027504301962
6,-2.645731443187962,16.868464537387947,3,-72.45398393227876
7,-2.5612592129861733,16.894446040357742,3,-70.3424744815887
8,-2.476873197121305,16.877203172973633,3,-68.1585028672727
9,-2.3927759903801515,16.819441348230654,3,-65.91624542735568
10,-2.3091549194254606,16.724214190938152,3,-63.63091623997174
11,-2.22618059049635,16.59486578582216,3,-61.31835715245849
12,-2.14400574695084,16.43496870910203,3,-58.99462286170743
13,-2.062764444970464,16.248260396075136,3,-56.675582367037904
14,-1.9825715436756337,16.038580258966082,3,-54.376555301291575
15,-1.9035224951663172,15.809809701863317,3,-52.111997728934156
16,-1.8256934110749379,15.565816818275879,3,-49.895247478224235
17,-1.7491413753741754,15.310407140152524,3,-47.73833443495265
18,-1.6739049685127252,15.047281372290032,3,-45.6518568877446
19,-1.600004965386111,14.780000625322817,3,-43.64492129475534
20,-1.5274451689895845,14.511959279305326,0,-32.7251399337697
21,-1.458428828921404,13.80326801363608,3,-38.688094030772184
22,-1.3906962088182786,13.546524020625082,0,-28.021011030244903
23,-1.326423262877908,12.854589188074106,3,-34.32103968093355
24,-1.2633266929681293,12.619313981955766,0,-23.904680203347382
25,-1.2035616021827062,11.953018157084625,0,-21.530266957602485
26,-1.147042688857826,11.30378266497603,3,-28.356084904012217
27,-1.0914639351102324,11.115750749518703,0,-18.312459080774133
28,-1.0389613855239994,10.500509917246625,0,-16.423274655269214
29,-0.989435031749374,9.905270754925084,0,-14.706347283101838
30,-0.9427834786327309,9.330310623328609,0,-13.149673070694035
31,-0.8989050825592848,8.775679214689227,0,-11.741406305167425
32,-0.8576989188968493,8.241232732487097,0,-10.470028872485795
33,-0.819065594314368,7.726664916496281,0,-9.324477312129194
34,-0.7829079201673877,7.231534829396039,0,-8.294233656180925
35,-0.7491314629267223,6.755291448133086,3,-16.369385998655655
36,-0.7154295006033627,6.740392464671916,0,-7.102485909448479
37,-0.683942589214747,6.297382277723146,0,-6.304589681887017
38,-0.6545815715798172,5.872203526985956,0,-5.5906625954941465
39,-0.6272611517798965,5.464083959984153,3,-13.952904114836823
40,-0.5996845769094736,5.515314974084562,0,-4.839977885251612
41,-0.574002503300556,5.136414721783525,0,-4.285669988391977
42,-0.5501363546387426,4.773229732362686,3,-12.791622251267137
43,-0.5257962283159676,4.868025264554992,0,-3.7520753661910557
44,-0.5031394036575896,4.531364931675618,0,-3.319073111966533
45,-0.48209391995168144,4.209096741181627,0,-2.9337222759344703
46,-0.4625918941668415,3.900405156967986,3,-11.591272341594577
47,-0.4423539890666118,4.0475810200459446,0,-2.616676469599337
