k,current_theta,current_thetadot,force,reward
0,1.5707963267948966,0.0,-3,-21.337005501361695
1,1.5715469530004629,0.1501252411132544,-3,-21.351052886227126
2,1.5730422031653726,0.29905003298194066,-3,-21.381251956919495
3,1.5752761172233447,0.44678281159442584,0,-12.427435715544906
4,1.5804582534825682,1.036427251844715,0,-12.59665959984249
5,1.5885649316175798,1.621335627002326,0,-12.880565631364533
6,1.5995724395389912,2.2015015842822767,0,-13.277820869223335
7,1.6134568247585142,2.776877043904602,0,-13.787319238495572
8,1.6301936154016758,3.3473581286323317,0,-14.40813676261403
9,1.6497574737925442,3.9127716781736717,0,-15.13947683222359
10,1.6721217858356952,4.472862408630187,0,-15.980606145985474
11,1.6972581898866579,5.027280810192565,0,-16.930782050139715
12,1.7251360494547643,5.5755719136212765,0,-17.989172162038198
13,1.755721874936732,6.117165096393551,0,-19.15476739231032
14,1.7889787006423206,6.651365141117713,0,-20.42628978080701
15,1.8248654246417246,7.177344799880825,0,-21.802096927901744
16,1.8633361204223544,7.694139156125949,0,-23.280085223736208
17,1.9043393309598702,8.200642107503132,0,-24.85759453473877
18,1.9478173575374544,8.69560531551684,0,-26.53131747194543
19,1.9937055574223113,9.177639976971365,0,-28.29721680317334
20,2.041931666243773,9.645221764292327,0,-30.150454936283193
21,2.0924151625085945,10.096699252964317,0,-32.08533964196036
22,2.145066693014597,10.530306101200578,0,-34.09529024590111
23,2.1997875788498593,10.94417716705244,0,-36.17282834669383
24,2.2564694220515396,11.336368640336092,0,-38.309596658227605
25,2.3149938327101496,11.704882131722032,0,-40.496408799180706
26,2.375232295220764,12.047692502122873,0,-42.72333174386926
27,2.43704619040965,12.362779037777225,0,-44.979801224641335
28,2.5002869873523648,12.64815938854294,3,-56.254768687416515
29,2.567012101211335,13.34502277179404,3,-59.75671891679731
30,2.6370312514477763,14.003830047288265,3,-63.3803947048945
31,2.7101399592124156,14.621741552927846,3,-67.10382559666105
32,2.7861200352306583,15.196015203648544,3,-70.9042120605202
33,2.864740427767423,15.724078507352974,3,-74.75835308296537
34,2.9457584453605565,16.203603518626643,3,-78.64314079095018
35,3.028921354245226,16.632581776933932,3,-82.53610050765315
36,3.113968334073514,17.0093959656576,3,-86.41594903971578
37,-3.082552548560403,17.332884909133835,0,-77.55354100050913
38,-2.996756041758778,17.159301360324946,0,-74.34689618653366
39,-2.9120735969059437,16.93648897056688,3,-80.08532903399697
40,-2.8265275371771104,17.109211945766635,3,-78.21880293261887
41,-2.740369083563378,17.231690722746503,3,-76.24123008718873
42,-2.653842398644133,17.305336983849,3,-74.16186619666342
43,-2.56718206400233,17.332066928360604,3,-71.99217314959346
44,-2.480610717968388,17.314269206788417,3,-69.74553948701237
45,-2.394336914857351,17.254760622207424,3,-67.43692272221108
46,-2.308553256046926,17.156731762084885,3,-65.08243515563755
47,-2.2234348303691274,17.023685135559738,3,-62.69889778396071
48,-2.1391379873145615,16.859368610913165,3,-60.303387639725386
49,-2.055799452445807,16.667706973750917,3,-57.91280251966489
50,-1.9735357810727163,16.452734274618148,0,-46.54346390699096
