k,current_theta,current_thetadot,force,reward
0,-3.141592653589793,15.707963267948966,3,-83.02203300817018
1,-3.0614652928453006,16.025472148898473,3,-81.54442445599386
2,-2.9800004929736037,16.29295997433933,3,-79.94806916315696
3,-2.897448751882687,16.51034821818337,3,-78.23520617749978
4,-2.814058528194366,16.67804473766419,3,-76.41034462767004
5,-2.7300737658749017,16.7969524638929,3,-74.48027504301962
6,-2.645731443187962,16.868464537387947,3,-72.45398393227876
7,-2.5612592129861733,16.894446040357742,3,-70.3424744815887
8,-2.476873197121305,16.877203172973633,3,-68.1585028672727
9,-2.3927759903801515,16.819441348230654,3,-65.91624542735568
10,-2.3091549194254606,16.724214190938152,3,-63.63091623997174
11,-2.22618059049635,16.59486578582216,3,-61.31835715245849
12,-2.14400574695084,16.43496870910203,3,-58.99462286170743
13,-2.062764444970464,16.248260396075136,3,-56.675582367037904
14,-1.9825715436756337,16.038580258966082,3,-54.376555301291575
15,-1.9035224951663172,15.809809701863317,3,-52.111997728934156
16,-1.8256934110749379,15.565816818275879,3,-49.895247478224235
17,-1.7491413753741754,15.310407140152524,3,-47.73833443495265
18,-1.6739049685127252,15.047281372290032,3,-45.6518568877446
19,-1.600004965386111,14.780000625322817,3,-43.64492129475534
20,-1.5274451689895845,14.511959279305326,3,-41.7251399337697
21,-1.4562133425615253,14.246365285611832,3,-39.89867888037964
22,-1.386282205277088,13.986227456887478,3,-38.17034761091885
23,-1.3176104597497225,13.734349105473107,0,-27.543721153310372
24,-1.2523593097752228,13.050229994899912,0,-24.8728694958819
25,-1.1904468501270802,12.382491929628545,3,-31.41842915361904
26,-1.129568046129077,12.175760799600642,0,-21.20453495908847
27,-1.0718580221291996,11.542004799975466,0,-19.06618557827927
28,-1.017213918577974,10.928820710245107,0,-17.117532992412023
29,-0.9655298193520152,10.336819845191766,0,-15.34622361148471
30,-0.916698129228547,9.766338024693637,0,-13.73981314191327
31,-0.8706107563682388,9.217474572061644,0,-12.285999194180683
32,-0.8271601149063995,8.69012829236787,0,-10.972802252241092
33,-0.7862399641755593,8.18403014616804,0,-9.78870134967265
34,-0.7477461015736517,7.698772520381505,0,-8.722730994151108
35,-0.711576925893921,7.233835135946158,0,-7.76454568472813
36,-0.6776338872484968,6.788607729084832,0,-6.904457915676575
37,-0.645821838711908,6.362409707317758,0,-6.133454965163272
38,-0.6160493036128961,5.954507019802382,0,-5.443199107297257
39,-0.5882286711111209,5.564126500355057,0,-4.826015218781118
40,-0.5622763313820817,5.190467945807833,0,-4.274869113808321
41,-0.538112760449989,4.8327141864185235,0,-3.7833393555566213
42,-0.5156625634887584,4.490039392246126,3,-12.345584771311184
43,-0.4926389979172606,4.6047131142995505,0,-3.33380419784484
44,-0.47120234148840207,4.287331285771707,0,-2.948279188516451
45,-0.451283565840821,3.983755129516205,0,-2.6053147771847005
46,-0.432817628749111,3.6931874183419993,0,-2.3006188294799808
47,-0.41574340801631526,3.4148441465591466,0,-2.0303289610740287
