k,current_theta,current_thetadot,force,reward
0,1.5707963267948966,0.0,-3,-21.337005501361695
1,1.5715469530004629,0.1501252411132544,-3,-21.351052886227126
2,1.5730422031653726,0.29905003298194066,-3,-21.381251956919495
3,1.5752761172233447,0.44678281159442584,-3,-21.427435715544906
4,1.5782427671226895,0.5933299798689642,-3,-21.489455206376547
5,1.5819362420183196,0.7386949791260029,-3,-21.567178396273814
6,1.5863506289875022,0.882877393836532,-3,-21.66048883969998
7,1.5914799894342593,1.0258720893514215,-3,-21.769284138219376
8,1.5973183313473276,1.1676683826136671,0,-12.893474203466617
9,1.6060750639382437,1.7513465181832446,0,-13.204107017696426
10,1.6177260516153225,2.3301975354157394,0,-13.628169945780265
11,1.6322467341371754,2.9041365043705696,0,-14.164547889109146
12,1.6496118349020277,3.4730201529704763,0,-14.812282927538082
13,1.669795002880717,4.036633595737838,0,-15.570517836851007
14,1.6927683916748797,4.594677758832543,0,-16.43843051001884
15,1.718502179713001,5.1467576076242265,0,-17.415160095555464
16,1.7469640363141672,5.692371320233256,0,-18.499725845616844
17,1.7781185392646226,6.2309005900910766,0,-19.690939914742508
18,1.8119265506687579,6.761602280827064,0,-20.98731566550049
19,1.848344559146306,7.283601695509592,0,-22.38697341251178
20,1.8873239979304932,7.795887756837448,-3,-32.88754595754251
21,1.9265950636818057,7.85421315026249,-3,-33.727709117991125
22,1.9661170034944677,7.904387962532391,-3,-34.57601526337302
23,2.0058448164762397,7.945562596354418,0,-26.430263636181635
24,2.0479448154522886,8.419999795209742,0,-28.060029490822753
25,2.0923430380620163,8.879644521945561,0,-29.774305628244722
26,2.1389580545159435,9.323003290785456,0,-31.567546830892788
27,2.1877004855399353,9.74848620479839,0,-33.433465400672794
28,2.2384725897830213,10.154420848617217,0,-35.365023953132734
29,2.2911679377656005,10.53906959651583,0,-37.35445139124581
30,2.3456711890890762,10.900650264695123,0,-39.39328425593259
31,2.4018579886341285,11.237359909010488,0,-41.47243476029153
32,2.459594995774396,11.547401428053512,3,-52.58228569025348
33,2.5209555445491993,12.272109754960727,3,-55.83655207174697
34,2.585765942856773,12.962079661514707,3,-59.2324784713352
35,2.6538387117498456,13.61455377861453,3,-62.74990699898912
36,2.7249727589295665,14.226809435944201,3,-66.36759335720816
37,2.798953863248255,14.796220863737766,3,-70.06352882781253
38,2.87555549550501,15.32032645135099,3,-73.81533729624181
39,2.954539989239775,15.79689874695292,3,-77.60073374223313
40,3.0356600616050717,16.224014473059388,3,-81.39802461032458
41,3.118660669361598,16.6001215513052,3,-85.18662540492538
42,-3.079904137714703,16.924100020657043,3,-85.07156363848112
43,-2.9939275685747058,17.195313827999453,3,-83.38589319369717
44,-2.9068593146623214,17.413650782476918,3,-81.5726787336014
45,-2.8189615722278845,17.57954848688739,3,-79.63677422877001
46,-2.7304915484314165,17.694004759293577,3,-77.58570092246735
47,-2.6416986890147887,17.758571883325565,3,-75.4295473512364
48,-2.552822014472793,17.775334908399145,3,-73.18075429845997
49,-2.4640876390431607,17.74687508592643,3,-70.85379699597411
