k,current_theta,current_thetadot,force,reward
0,-1.5707963267948966,0.0,3,-21.337005501361695
1,-1.5715469530004629,-0.1501252411132544,3,-21.351052886227126
2,-1.5730422031653726,-0.29905003298194066,3,-21.381251956919495
3,-1.5752761172233447,-0.44678281159442584,3,-21.427435715544906
4,-1.5782427671226895,-0.5933299798689642,3,-21.489455206376547
5,-1.5819362420183196,-0.7386949791260029,0,-12.567178396273814
6,-1.5885661153473811,-1.325974665812283,0,-12.793532395586945
7,-1.5981086257580546,-1.9085020821346679,0,-13.133993918362725
8,-1.6105398481700726,-2.4862444824035865,0,-13.58733417534663
9,-1.6258354507228383,-3.0591205105531474,0,-14.152526393944369
10,-1.6439703828625551,-3.6269864279433532,0,-14.828696153494809
11,-1.6649184976654072,-4.189622960570417,0,-15.615062074516066
12,-1.688652111881452,-4.746722843208926,0,-16.510867549832582
13,-1.7151415077468852,-5.297879173086681,0,-17.515304331243854
14,-1.7443543813689533,-5.842574724413596,0,-18.627428980040982
15,-1.7762552434488204,-6.380172415973438,0,-19.846073455151974
16,-1.8108047792748367,-6.909907165203275,0,-21.169751446395708
17,-1.8479591762821808,-7.430879401468783,0,-22.596562453944887
18,-1.8876694290115528,-7.942050545874411,0,-24.124096053446408
19,-1.929880632970322,-8.442240791753843,0,-25.749339246164908
20,-1.9745312806473585,-8.930129535407293,0,-27.468590243189855
21,-2.021552574681717,-9.404258806871681,0,-29.277382431673754
22,-2.0708677748400928,-9.863040031675096,0,-31.170422570998333
23,-2.122391596905372,-10.304764413055874,0,-33.14154741393096
24,-2.176029682690879,-10.727617157101415,0,-35.18370288669251
25,-2.2316781610353247,-11.129695668889081,0,-37.28894964041888
26,-2.289223319664403,-11.509031725815666,0,-39.4484981630597
27,-2.3485414070983937,-11.863617486798073,0,-41.65277569158462
28,-2.409498582234911,-12.19143502730351,0,-43.89152589145653
29,-2.471951026771385,-12.490488907294798,0,-46.153940708105964
30,-2.5357452322307457,-12.758841091872148,-3,-57.42882201466932
31,-2.6029339554139272,-13.437744636636344,-3,-60.933623973178854
32,-2.6733225488233514,-14.077718681884848,-3,-64.55148357886587
33,-2.7467025923383916,-14.676008703008007,-3,-68.26039879886888
34,-2.8228525171177803,-15.22998495587772,-3,-72.0377258426171
35,-2.901538585869103,-15.737213750264555,-3,-75.86062048858795
36,-2.982516238227562,-16.195530471691864,-3,-79.70653628240541
37,-3.06553179505901,-16.603111366289625,-3,-83.55375663673016
38,3.132860807747743,-16.958540874566648,-3,-86.83329506304398
39,3.046556451402199,-17.260871269108744,-3,-85.20129875477616
40,2.959008093678444,-17.50967154475104,-3,-83.43750425277912
41,2.870482779012838,-17.70506293312114,-3,-81.54528226962435
42,2.781244083775811,-17.847739047405454,-3,-79.53077217811789
43,2.691549236454707,-17.93896946422074,-3,-77.40284900512401
44,2.6016463041863,-17.98058645368148,-3,-75.17296638226256
45,2.5117715266903686,-17.974955499186237,-3,-72.85488353123489
46,2.4221468710672833,-17.924931124617046,-3,-70.46429290733165
47,2.3329778695938703,-17.833800294682593,-3,-68.01837199513587
